"departement","begrotingsstaten","begrotingshoofdstuk_R","begroting","naam_agentschap","Agentschap","Jaar","Dep.","FTE (in aantallen)","Immateriële vaste activa","Materiële vaste activa","Financiële vaste activa","Vaste activa","Voorraden + OHW","Debiteuren + Nog te ontvangen","Liquide middelen","Vlottende activa","Totaal activa","Exploitatie reserve","Verplichte / Bestemmings-reserve","Onverdeeld resultaat","Eigen vermogen","Voorzieningen","Leningen FIN","Crediteuren + Kortlopende schulden","Totaal passiva","Omzet moeder departement","Omzet overige departementen","Omzet derden","Omzet","Diverse opbrengsten","Rentebaten","Vrijval voorzieningen","Bijzondere baten","Baten","Personele kosten","Materiële kosten","Apparaats-uitgaven","Afschrijving","Diverse lasten","Dotatie voorzieningen","Rentelasten","Bijzondere lasten","Lasten","Resultaat"
"Infrastructuur en Milieu","XII, Infrastructuur en Milieu","XII","Infrastructuur en Milieu","Rijkswaterstaat","RWS","2012","IenM","8640","3663","242108","94787","340558","9013411","43952","359909","9417272","9757830","119982","0","4994","124976","5494","191605","9435755","9757830","2230363","34899","104656","2369918","0","895","1011","2773","2374597","748033","299203","1047236","50588","1247730","4000","7751","12298","2369603","4994"
"Onderwijs, Cultuur en Wetenschap","VIII, Onderwijs, Cultuur en Wetenschap","VIII","Onderwijs, Cultuur en Wetenschap","Dienst Uitvoering Onderwijs","DUO","2012","OCW","1732","0","20966","0","20966","0","9078","45002","54080","75046","444","0","2257","2701","2378","1257","68710","75046","253726","16277","11502","281505","0","15","2","1004","282526","122831","151016","273847","5980","0","381","61","0","280269","2257"
"Onderwijs, Cultuur en Wetenschap","VIII, Onderwijs, Cultuur en Wetenschap","VIII","Onderwijs, Cultuur en Wetenschap","Nationaal Archief","NA","2012","OCW","127,8","4735","3176","0","7911","0","1229","13724","14953","22864","442","2360","118","2920","80","1990","17874","22864","23374","700","2447","26521","-1242","0","0","0","25279","10425","12712","23137","2036","0","-19","7","0","25161","118"
"Sociale Zaken en Werkgelegenheid","XV, Sociale Zaken en Werkgelegenheid","XV","Sociale Zaken en Werkgelegenheid","Agentschap SZW","ASZW","2012","SZW","128","547","19","0","566","0","1095","5060","6155","6721","2535","0","-742","1793","778","1778","2372","6721","13209","838","0","14047","0","18","0","8585","22650","11375","10366","21741","885","0","766","0","0","23392","-742"
"Sociale Zaken en Werkgelegenheid","XV, Sociale Zaken en Werkgelegenheid","XV","Sociale Zaken en Werkgelegenheid","Inspectie Werk en Inkomen","IWI","2012","SZW","83","124","0","0","124","2741","291","4548","7580","7704","364","0","342","706","2829","0","4169","7704","10589","0","0","10589","0","26","205","0","10820","7957","1652","9609","135","0","734","0","0","10478","342"
"Veiligheid en Justitie","VI, Veiligheid en Justitie","VI","Veiligheid en Justitie","Centraal Justitieel Incassobureau","CJIB","2012","VenJ","942","3051","16674","0","19725","0","5393","12262","17655","37380","0","0","-1223","-1223","65","17922","20616","37380","48071","17805","42561","108437","0","0","0","0","108437","57499","32017","89516","5792","13941","0","411","0","109660","-1223"
"Veiligheid en Justitie","VI, Veiligheid en Justitie","VI","Veiligheid en Justitie","Dienst Justitiële Inrichtingen","DJI","2012","VenJ","16140","11248","142745","0","153993","2593","220631","43497","266721","420714","0","0","-59240","-59240","142227","76030","261697","420714","2145851","0","112889","2258740","0","205","4216","0","2263161","1039512","1175727","2215239","49801","0","55063","2299","0","2322402","-59241"
"Veiligheid en Justitie","VI, Veiligheid en Justitie","VI","Veiligheid en Justitie","Gemeenschappelijk Dienstencentrum ICT","GDI","2012","VenJ","189,7","0","9114","0","9114","0","3471","8773","12244","21358","1552","0","-1374","178","93","7855","13231","21357","43691","6278","0","49969","0","0","0","2472","52441","31713","15911","47624","3274","0","0","205","2712","53815","-1374"
"Veiligheid en Justitie","VI, Veiligheid en Justitie","VI","Veiligheid en Justitie","Justitiële Uitvoeringsdienst Toetsing, Integriteit, Screening","Justis","2012","VenJ","233","0","0","0","0","0","2046","9682","11728","11728","1305","0","351","1656","335","32","9705","11728","15558","115","15721","31394","0","0","0","84","31478","14531","16218","30749","130","0","84","2","0","30965","513"
"Veiligheid en Justitie","VI, Veiligheid en Justitie","VI","Veiligheid en Justitie","Korps landelijke politiediensten","KLPD","2012","VenJ","5096","0","155492","0","155492","0","13462","950","14412","169904","29664","0","1540","31204","17161","0","121539","169904","574484","17543","20238","612265","0","0","0","52","612317","392740","174478","567218","33726","0","6278","3509","46","610777","1540"
"Veiligheid en Justitie","VI, Veiligheid en Justitie","VI","Veiligheid en Justitie","Nederlands Forensisch Instituut","NFI","2012","VenJ","555","0","13504","0","13504","83","3621","13013","16717","30221","4024","0","568","4592","159","13521","11949","30221","70587","0","8440","79027","0","70","0","0","79097","43417","30357","73774","4410","0","0","345","0","78529","568"
"Volksgezondheid, Welzijn en Sport","XVI, Volksgezondheid, Welzijn en Sport","XVI","Volksgezondheid, Welzijn en Sport","Agentschap College ter Beoordeling van Geneesmiddelen","ACBG","2012","VWS","259","1698","5865","0","7563","0","7484","4501","11985","19548","2511","0","-1817","694","0","0","18854","19548","180","789","39126","40095","0","4","0","0","40099","22331","16336","38667","2482","767","0","0","0","41916","-1817"
"Volksgezondheid, Welzijn en Sport","XVI, Volksgezondheid, Welzijn en Sport","XVI","Volksgezondheid, Welzijn en Sport","Almata","Almata","2012","VWS","205","7","1090","0","1097","52","1411","5763","7226","8323","1601","0","212","1813","870","0","5640","8323","28438","926","340","29704","0","2","422","0","30128","15917","13055","28972","283","0","640","21","0","29916","212"
"Volksgezondheid, Welzijn en Sport","XVI, Volksgezondheid, Welzijn en Sport","XVI","Volksgezondheid, Welzijn en Sport","CIBG","CIBG","2012","VWS","218,2","5821","24","0","5845","272","3084","11491","14847","20692","1504","0","108","1612","62","691","18327","20692","33622","530","4393","38545","0","1","2","0","38548","20992","14964","35956","2430","0","19","31","4","38440","108"
"Volksgezondheid, Welzijn en Sport","XVI, Volksgezondheid, Welzijn en Sport","XVI","Volksgezondheid, Welzijn en Sport","Lindenhorst","Lindenhorst","2012","VWS","75,3","0","267","0","267","0","470","1827","2297","2564","500","0","180","680","109","141","1634","2564","9687","0","507","10194","0","0","0","0","10194","6085","3842","9927","76","0","0","11","0","10014","180"
"Volksgezondheid, Welzijn en Sport","XVI, Volksgezondheid, Welzijn en Sport","XVI","Volksgezondheid, Welzijn en Sport","Nederlands Vaccin Institiuut","NVI","2012","VWS","108","758","873","0","1631","586","776","0","1362","2993","12453","0","-10772","1681","0","0","1312","2993","6249","0","10745","16994","0","0","0","0","16994","8102","17764","25866","1756","0","0","144","0","27766","-10772"
"Volksgezondheid, Welzijn en Sport","XVI, Volksgezondheid, Welzijn en Sport","XVI","Volksgezondheid, Welzijn en Sport","Rijksinstituut voor Volksgezondheid en Milieu","RIVM","2012","VWS","1457,3","50","9238","0","9288","37575","60552","64573","162700","171988","41781","0","2801","44582","11528","0","115878","171988","175506","55954","136089","367549","0","296","2917","0","370762","116437","241356","357793","6402","0","3472","294","0","367961","2801"
"Algemene Zaken","III, Algemene Zaken","III","Algemene Zaken","Dienst Publiek en Communicatie","DPC","2013","AZ","141,1","0","0","0","0","0","9173","18717","27890","27890","4700","0","-1024","3676","611","0","23604","27891","22561","15741","491","38793","0","104","145","13","39055","11753","27728","39481","0","0","551","0","47","40079","-1024"
"Buitenlandse Zaken","V, Buitenlandse Zaken","V","Buitenlandse Zaken","Centrum tot Bevordering van de Import","CBI","2013","BuZa","12","0","269","0","269","0","3275","11283","14558","14827","1161","0","-38","1123","0","0","13704","14827","25520","0","1424","26944","0","4","0","0","26948","161","26593","26754","232","0","0","0","0","26986","-38"
