"departement","begrotingsstaten","begrotingshoofdstuk_R","begroting","naam_agentschap","Agentschap","Jaar","Dep.","FTE (in aantallen)","Immateriële vaste activa","Materiële vaste activa","Financiële vaste activa","Vaste activa","Voorraden + OHW","Debiteuren + Nog te ontvangen","Liquide middelen","Vlottende activa","Totaal activa","Exploitatie reserve","Verplichte / Bestemmings-reserve","Onverdeeld resultaat","Eigen vermogen","Voorzieningen","Leningen FIN","Crediteuren + Kortlopende schulden","Totaal passiva","Omzet moeder departement","Omzet overige departementen","Omzet derden","Omzet","Diverse opbrengsten","Rentebaten","Vrijval voorzieningen","Bijzondere baten","Baten","Personele kosten","Materiële kosten","Apparaats-uitgaven","Afschrijving","Diverse lasten","Dotatie voorzieningen","Rentelasten","Bijzondere lasten","Lasten","Resultaat"
"Infrastructuur en Milieu","XII, Infrastructuur en Milieu","XII","Infrastructuur en Milieu","Koninklijk Nederlands Meteorologisch Instituut","KNMI","2013","IenM","358","0","13426","0","13426","2165","4415","28404","34984","48410","3130","0","2276","5406","757","5931","36316","48410","38571","1231","19231","59033","0","68","741","0","59842","31936","22786","54722","2577","0","49","219","0","57567","2275"
"Infrastructuur en Milieu","XII, Infrastructuur en Milieu","XII","Infrastructuur en Milieu","Nederlandse Emissieautoriteit","NEA","2013","IenM","40,7","1264","0","0","1264","0","105","2363","2468","3732","352","0","602","954","0","1000","1778","3732","7370","16","75","7461","0","5","0","0","7466","5288","1129","6417","423","0","0","24","0","6864","602"
"Infrastructuur en Milieu","XII, Infrastructuur en Milieu","XII","Infrastructuur en Milieu","Rijkswaterstaat","RWS","2013","IenM","8506","2041","218527","86087","306655","9997393","65051","394133","10456577","10763232","132452","0","-12845","119607","163668","24803","10455154","10763232","2270042","36089","109903","2416034","0","947","964","4431","2422376","802885","268569","1071454","40361","1282689","19900","6502","14314","2435220","-12844"
"Onderwijs, Cultuur en Wetenschap","VIII, Onderwijs, Cultuur en Wetenschap","VIII","Onderwijs, Cultuur en Wetenschap","Dienst Uitvoering Onderwijs","DUO","2013","OCW","1770","0","18842","0","18842","0","11149","37772","48921","67763","2701","0","3186","5887","2304","943","58629","67763","258405","18859","10873","288137","0","31","13","0","288181","152453","125625","278078","6359","0","510","48","0","284995","3186"
"Onderwijs, Cultuur en Wetenschap","VIII, Onderwijs, Cultuur en Wetenschap","VIII","Onderwijs, Cultuur en Wetenschap","Nationaal Archief","NA","2013","OCW","137,43","0","5981","0","5981","0","1839","16128","17967","23948","2920","0","7","2927","399","1580","19043","23949","28335","700","2608","31643","-1679","15","0","0","29979","11311","12882","24193","5429","0","318","32","0","29972","7"
"Sociale Zaken en Werkgelegenheid","XV, Sociale Zaken en Werkgelegenheid","XV","Sociale Zaken en Werkgelegenheid","Agentschap SZW","ASZW","2013","SZW","116","882","3","0","885","0","1086","6569","7655","8540","1793","0","-86","1707","410","0","6423","8540","12978","421","0","13399","0","5","117","7130","20651","11077","8686","19763","974","0","0","0","0","20737","-86"
"Sociale Zaken en Werkgelegenheid","XV, Sociale Zaken en Werkgelegenheid","XV","Sociale Zaken en Werkgelegenheid","Inspectie Werk en Inkomen","IWI","2013","SZW","80,8","0","0","0","0","1703","87","3947","5737","5737","489","0","285","774","1683","0","3280","5737","9041","0","0","9041","0","6","656","0","9703","7657","976","8633","124","0","661","0","0","9418","285"
"Veiligheid en Justitie","VI, Veiligheid en Justitie","VI","Veiligheid en Justitie","Centraal Justitieel Incassobureau","CJIB","2013","VenJ","916","581","15844","0","16425","0","3153","28829","31982","48407","0","0","1562","1562","6288","14188","26369","48407","103358","18632","0","121990","0","0","0","0","121990","60268","30222","90490","7554","14467","7563","354","0","120428","1562"
"Veiligheid en Justitie","VI, Veiligheid en Justitie","VI","Veiligheid en Justitie","Dienst Justitiële Inrichtingen","DJI","2013","VenJ","15943","7026","116292","0","123318","2661","201508","171451","375620","498938","0","0","-81949","-81949","157965","61575","361347","498938","2313666","0","120849","2434515","0","860","4446","6936","2446757","1008736","1268175","2276911","53216","0","129590","2115","66875","2528707","-81950"
"Veiligheid en Justitie","VI, Veiligheid en Justitie","VI","Veiligheid en Justitie","Gemeenschappelijk Dienstencentrum ICT","GDI","2013","VenJ","195,7","0","11148","0","11148","0","12474","2715","15189","26337","178","0","2941","3119","7","8378","14833","26337","62721","1437","0","64158","0","0","43","1745","65946","40785","16631","57416","4833","0","0","58","698","63005","2941"
"Veiligheid en Justitie","VI, Veiligheid en Justitie","VI","Veiligheid en Justitie","Immigratie- en Naturalisatiedienst","IND","2013","VenJ","3008","53084","12047","0","65131","1185","15407","27393","43985","109116","6517","0","1489","8006","2800","45648","52662","109116","315432","0","55120","370552","0","21","40","0","370613","235041","72393","307434","16012","44675","143","860","0","369124","1489"
"Veiligheid en Justitie","VI, Veiligheid en Justitie","VI","Veiligheid en Justitie","Justitiële Uitvoeringsdienst Toetsing, Integriteit, Screening","Justis","2013","VenJ","245,2","0","0","0","0","0","2611","13054","15665","15665","1556","0","6502","8058","0","0","7607","15665","17619","516","20070","38205","0","8","225","217","38655","15545","16606","32151","0","0","0","2","0","32153","6502"
"Veiligheid en Justitie","VI, Veiligheid en Justitie","VI","Veiligheid en Justitie","Nederlands Forensisch Instituut","NFI","2013","VenJ","560","0","13209","0","13209","121","2984","8275","11380","24589","3800","0","247","4047","97","12497","7948","24589","68273","0","8741","77014","0","75","0","0","77089","44541","27098","71639","4910","0","17","276","0","76842","247"
"Volksgezondheid, Welzijn en Sport","XVI, Volksgezondheid, Welzijn en Sport","XVI","Volksgezondheid, Welzijn en Sport","Agentschap College ter Beoordeling van Geneesmiddelen","ACBG","2013","VWS","261","1468","4561","0","6029","0","7303","3717","11020","17049","2060","0","-2060","0","0","0","17049","17049","203","856","36135","37194","0","11","0","0","37205","23342","12728","36070","2423","772","0","0","0","39265","-2060"
"Volksgezondheid, Welzijn en Sport","XVI, Volksgezondheid, Welzijn en Sport","XVI","Volksgezondheid, Welzijn en Sport","Almata","Almata","2013","VWS","96","0","685","0","685","0","2100","1351","3451","4136","621","0","419","1040","60","0","3036","4136","10183","0","778","10961","0","3","291","0","11255","6460","3903","10363","145","0","328","0","0","10836","419"
"Volksgezondheid, Welzijn en Sport","XVI, Volksgezondheid, Welzijn en Sport","XVI","Volksgezondheid, Welzijn en Sport","CIBG","CIBG","2013","VWS","204,1","5228","13","0","5241","675","3771","20540","24986","30227","1612","0","1188","2800","0","413","27014","30227","34174","1897","12030","48101","0","9","0","0","48110","22013","21359","43372","3534","0","0","16","0","46922","1188"
"Volksgezondheid, Welzijn en Sport","XVI, Volksgezondheid, Welzijn en Sport","XVI","Volksgezondheid, Welzijn en Sport","Lindenhorst","Lindenhorst","2013","VWS","133,8","1","502","0","503","0","788","6656","7444","7947","1572","0","860","2432","473","0","5042","7947","25155","0","1123","26278","0","1","181","0","26460","12473","12516","24989","188","0","419","4","0","25600","860"
"Volksgezondheid, Welzijn en Sport","XVI, Volksgezondheid, Welzijn en Sport","XVI","Volksgezondheid, Welzijn en Sport","Rijksinstituut voor Volksgezondheid en Milieu","RIVM","2013","VWS","1344,3","66","4869","0","4935","40498","57223","50795","148516","153451","41800","0","-5214","36586","10680","0","106185","153451","151730","60942","122730","335402","0","53","5500","0","340955","114635","227147","341782","2628","0","1743","16","0","346169","-5214"
"Algemene Zaken","III, Algemene Zaken","III","Algemene Zaken","Dienst Publiek en Communicatie","DPC","2014","AZ","136,2","0","0","0","0","0","7083","21308","28391","28391","3675","0","741","4416","503","0","23472","28391","24632","46812","20812","92256","0","19","320","15","92610","12129","78938","91067","0","0","712","0","90","91869","741"
"Buitenlandse Zaken","V, Buitenlandse Zaken","V","Buitenlandse Zaken","Centrum tot Bevordering van de Import","CBI","2014","BuZa","15","0","0","0","0","0","4201","4094","8295","8295","1123","0","-488","635","0","0","7660","8295","19564","0","362","19926","0","0","8","0","19934","222","19915","20137","285","0","0","0","0","20422","-488"
"Binnenlandse Zaken en Koninkrijksrelaties","VII, Binnenlandse Zaken","VII","Binnenlandse Zaken en Koninkrijksrelaties","Basisadministratie Persoonsgegevens en Reisdocumenten","BPR","2014","BZK","119","0","10771","0","10771","0","8371","51591","59962","70733","5400","21538","5407","32345","0","5000","33388","70733","25272","0","113921","139193","0","62","0","0","139255","12293","97311","109604","2629","21538","0","77","0","133848","5407"
"Binnenlandse Zaken en Koninkrijksrelaties","VII, Binnenlandse Zaken","VII","Binnenlandse Zaken en Koninkrijksrelaties","Dienst Huurcommissie","DHC","2014","BZK","66","2035","86","0","2121","2239","1013","6997","10249","12370","1999","0","-1109","890","2748","0","8730","12368","12182","0","966","13148","0","9","0","2331","15488","6812","5506","12318","988","0","960","0","2331","16597","-1109"
"Binnenlandse Zaken en Koninkrijksrelaties","VII, Binnenlandse Zaken","VII","Binnenlandse Zaken en Koninkrijksrelaties","FM Haaglanden","FMH","2014","BZK","414","0","26907","0","26907","0","8089","18903","26992","53899","7603","0","-2033","5570","43","16827","31459","53899","20456","93961","170","114587","0","11","27","0","114625","34416","74976","109392","6778","0","0","0","488","116658","-2033"
"Binnenlandse Zaken en Koninkrijksrelaties","VII, Binnenlandse Zaken","VII","Binnenlandse Zaken en Koninkrijksrelaties","Gemeenschappelijk Dienstencentrum ICT","GDI","2014","BZK","212","0","12310","0","12310","0","11074","10072","21146","33456","2619","0","541","3160","1680","5650","22966","33456","2240","67862","0","70102","0","0","0","1280","71382","44386","17076","61462","5804","0","2176","41","1358","70841","541"
"Binnenlandse Zaken en Koninkrijksrelaties","VII, Binnenlandse Zaken","VII","Binnenlandse Zaken en Koninkrijksrelaties","Logius","Logius","2014","BZK","194","0","3447","0","3447","0","8867","43841","52708","56155","4284","0","-1143","3141","0","2987","50027","56155","58071","51829","5039","114939","0","0","0","828","115767","40997","74657","115654","1251","0","0","5","0","116910","-1143"
"Binnenlandse Zaken en Koninkrijksrelaties","VII, Binnenlandse Zaken","VII","Binnenlandse Zaken en Koninkrijksrelaties","P-Direkt","P-Direkt","2014","BZK","409","59543","172","0","59715","0","6266","3141","9407","69122","7464","0","-3549","3915","245","42931","22031","69122","5283","64980","0","70263","0","22","42","0","70327","35149","23554","58703","12128","0","0","2027","1018","73876","-3549"
"Binnenlandse Zaken en Koninkrijksrelaties","VII, Binnenlandse Zaken","VII","Binnenlandse Zaken en Koninkrijksrelaties","Rijksgebouwendienst","RGD","2014","BZK","737","0","5542595","798145","6340740","33932","70365","523417","627714","6968454","68591","62305","81662","212558","98968","5916329","740599","6968454","16672","1246670","10452","1273794","0","3815","16887","27542","1322038","0","0","0","304530","691620","46958","197268","0","1240376","81662"
"Binnenlandse Zaken en Koninkrijksrelaties","VII, Binnenlandse Zaken","VII","Binnenlandse Zaken en Koninkrijksrelaties","Rijksvastgoed- en ontwikkelingsbedrijf","RVOB","2014","BZK","201","1","128","0","129","113638","2895","115035","231568","231697","674","11549","2659","14882","80","190211","26524","231697","23141","169","1872","25182","0","180","108","122","25592","16066","4557","20623","85","0","34","0","2191","22933","2659"
"Binnenlandse Zaken en Koninkrijksrelaties","VII, Binnenlandse Zaken","VII","Binnenlandse Zaken en Koninkrijksrelaties","Shared service center ICT","SSC-ICT","2014","BZK","357,2","0","32277","0","32277","3","20530","28050","48583","80860","5815","0","-1485","4330","6115","24060","46355","80860","25533","87600","0","113133","0","0","0","1475","114608","39983","53596","93579","14976","0","6115","135","1288","116093","-1485"
"Binnenlandse Zaken en Koninkrijksrelaties","VII, Binnenlandse Zaken","VII","Binnenlandse Zaken en Koninkrijksrelaties","Uitvoeringsbedrijf Bedrijfsvoering Rijk","UBR","2014","BZK","875","3455","1465","0","4920","68","32769","13883","46720","51640","5912","0","-10401","-4489","19020","760","36349","51640","36598","85718","5633","127949","0","4","184","1722","129859","90067","36297","126364","853","0","7940","3","5100","140260","-10401"
"Defensie","X, Defensie","X","Defensie","Defensie Telematica Organisatie","DTO","2014","DEF","1593","13728","75286","0","89014","1608","59593","922","62123","151137","17988","0","8709","26697","0","41451","82989","151137","296897","36019","120","333036","0","0","27","0","333063","164390","132309","296699","24433","0","54","610","2558","324354","8709"
"Defensie","X, Defensie","X","Defensie","Dienst Vastgoed Defensie","DVD","2014","DEF","855","0","0","0","0","9630","35711","23629","68970","68970","522","0","5577","6099","0","0","62871","68970","216318","1806","0","218124","2647","156","0","1450","222377","57452","152131","209583","2377","0","0","4343","497","216800","5577"
"Defensie","X, Defensie","X","Defensie","Paresto","Paresto","2014","DEF","794","0","4","0","4","3249","4257","8990","16496","16500","4198","0","2027","6225","3565","0","6710","16500","77629","0","676","78305","0","91","452","1212","80060","41181","36635","77816","8","0","0","0","209","78033","2027"
"Economische Zaken","XIII, Economische Zaken","XIII","Economische Zaken","Agentschap Telecom","AT","2014","EZ","248,4","186","5506","0","5692","0","2510","8886","11396","17088","1620","0","1081","2701","513","506","13368","17088","11217","8","20800","32025","0","33","0","468","32526","20129","10336","30465","1612","-932","268","32","0","31445","1081"
"Economische Zaken","XIII, Economische Zaken","XIII","Economische Zaken","Dienst ICT Uitvoering","Dictu","2014","EZ","429","17981","17631","0","35612","0","31062","2091","33153","68765","82","0","-992","-910","97","16465","53113","68765","180997","16569","1854","199420","0","0","0","34","199454","107239","81652","188891","10379","0","801","189","186","200446","-992"
"Economische Zaken","XIII, Economische Zaken","XIII","Economische Zaken","Dienst Landelijk Gebied","DLG","2014","EZ","763","25","1520","0","1545","0","13301","47537","60838","62383","22735","15000","-4661","33074","10097","0","19211","62382","55762","6421","12753","74936","0","70","16591","0","91597","57656","25570","83226","2042","0","10900","44","46","96258","-4661"
"Economische Zaken","XIII, Economische Zaken","XIII","Economische Zaken","Nederlandse Voedsel en Warenautoriteit","NVWA","2014","EZ","2229","9518","28854","0","38372","806","21316","60029","82151","120523","10248","0","-7582","2666","22218","27271","68368","120523","119113","77481","93863","290457","0","65","4226","12008","306756","192060","111348","303408","10041","0","407","482","0","314338","-7582"
"Economische Zaken","XIII, Economische Zaken","XIII","Economische Zaken","Rijksdienst voor Ondernemend Nederland","RVO","2014","EZ","2611","30071","11834","0","41905","0","20815","96537","117352","159257","20429","0","4042","24471","0","2163","132623","159257","303448","83206","15639","402293","0","184","8714","0","411191","259455","136160","395615","11060","0","281","193","0","407149","4042"
"Financiën","IX, Financiën en Nationale Schuld","IX","Financiën en Nationale Schuld","Domeinen Roerende Zaken","DRZ","2014","FIN","116,3","92","2352","0","2444","0","692","8621","9313","11757","1002","0","4257","5259","3697","0","2801","11757","885","21484","2838","25207","0","57","1141","0","26405","6399","13599","19998","461","0","337","1352","0","22148","4257"
"Infrastructuur en Milieu","XII, Infrastructuur en Milieu","XII","Infrastructuur en Milieu","Inspectie Leefomgeving en Transport","ILT","2014","IenM","1171","0","8463","0","8463","0","2013","39749","41762","50225","7718","0","374","8092","5574","0","36558","50224","132137","7760","7525","147422","0","95","3291","591","151399","107614","39885","147499","2060","0","1431","1","34","151025","374"
"Infrastructuur en Milieu","XII, Infrastructuur en Milieu","XII","Infrastructuur en Milieu","Koninklijk Nederlands Meteorologisch Instituut","KNMI","2014","IenM","354","0","12729","0","12729","2841","3621","20394","26856","39585","3033","0","-1020","2013","629","0","36945","39587","39587","1677","17684","58948","0","110","233","0","59291","31706","15679","47385","2749","9846","0","283","48","60311","-1020"
"Infrastructuur en Milieu","XII, Infrastructuur en Milieu","XII","Infrastructuur en Milieu","Nederlandse Emissieautoriteit","NEA","2014","IenM","49,9","1990","7","0","1997","0","48","1480","1528","3525","364","0","897","1261","0","600","1664","3525","7063","0","0","7063","0","3","0","0","7066","4520","1210","5730","421","0","0","18","0","6169","897"
"Infrastructuur en Milieu","XII, Infrastructuur en Milieu","XII","Infrastructuur en Milieu","Rijkswaterstaat","RWS","2014","IenM","8430","1297","202714","78800","282811","9267147","50748","481795","9799690","10082501","114238","0","-10993","103245","36694","138090","9804472","10082501","2190896","47984","157669","2396549","0","600","5187","3129","2405465","766399","280143","1046542","36168","1297307","17346","5597","13498","2416458","-10993"
"Onderwijs, Cultuur en Wetenschap","VIII, Onderwijs, Cultuur en Wetenschap","VIII","Onderwijs, Cultuur en Wetenschap","Dienst Uitvoering Onderwijs","DUO","2014","OCW","1773","0","16314","0","16314","0","8513","49556","58069","74383","5887","0","511","6398","4798","629","62558","74383","257007","21304","11137","289448","0","77","0","0","289525","152745","126151","278896","7008","0","3074","36","0","289014","511"
"Onderwijs, Cultuur en Wetenschap","VIII, Onderwijs, Cultuur en Wetenschap","VIII","Onderwijs, Cultuur en Wetenschap","Nationaal Archief","NA","2014","OCW","171,8","0","6389","0","6389","0","1634","23052","24686","31075","2926","0","582","3508","409","1220","25938","31075","34966","400","1851","37217","-7336","66","80","0","30027","14118","14156","28274","945","0","200","26","0","29445","582"
"Sociale Zaken en Werkgelegenheid","XV, Sociale Zaken en Werkgelegenheid","XV","Sociale Zaken en Werkgelegenheid","Agentschap SZW","ASZW","2014","SZW","152","1024","3","0","1027","0","865","2145","3010","4037","1707","0","-690","1017","20","0","3000","4037","16883","2575","0","19458","0","21","284","0","19763","12441","6650","19091","1362","0","0","0","0","20453","-690"
"Veiligheid en Justitie","VI, Veiligheid en Justitie","VI","Veiligheid en Justitie","Centraal Justitieel Incassobureau","CJIB","2014","VenJ","893","424","22738","0","23162","0","8054","24046","32100","55262","281","0","863","1144","4642","21264","28212","55262","98973","1274","13616","113863","0","27","38","0","113928","71335","26285","97620","5139","9663","0","346","297","113065","863"
"Veiligheid en Justitie","VI, Veiligheid en Justitie","VI","Veiligheid en Justitie","Dienst Justitiële Inrichtingen","DJI","2014","VenJ","15250","14916","117124","0","132040","3454","177536","254477","435467","567507","-100666","0","23655","-77011","175151","50225","419142","567507","2287904","0","87718","2375622","0","303","7678","29389","2412992","1017746","1135203","2152949","38072","0","158154","1716","38446","2389337","23655"
"Veiligheid en Justitie","VI, Veiligheid en Justitie","VI","Veiligheid en Justitie","Immigratie- en Naturalisatiedienst","IND","2014","VenJ","2984","51181","12217","0","63398","693","10787","50473","61953","125351","3535","0","918","4453","2625","43598","74675","125351","322125","0","53447","375572","0","17","450","0","376039","239685","69752","309437","16520","46851","1753","560","0","375121","918"
"Veiligheid en Justitie","VI, Veiligheid en Justitie","VI","Veiligheid en Justitie","Justitiële Uitvoeringsdienst Toetsing, Integriteit, Screening","Justis","2014","VenJ","237,5","0","0","0","0","0","3607","8159","11766","11766","1440","0","-11","1429","0","0","10338","11767","15269","1404","19738","36411","0","13","0","0","36424","20995","15440","36435","0","0","0","0","0","36435","-11"
"Veiligheid en Justitie","VI, Veiligheid en Justitie","VI","Veiligheid en Justitie","Nederlands Forensisch Instituut","NFI","2014","VenJ","552","0","12521","0","12521","14","3107","11758","14879","27400","3915","0","-337","3578","2477","11437","9907","27399","67123","0","8148","75271","0","7","64","0","75342","43824","24347","68171","4385","0","2484","222","417","75679","-337"
"Volksgezondheid, Welzijn en Sport","XVI, Volksgezondheid, Welzijn en Sport","XVI","Volksgezondheid, Welzijn en Sport","Agentschap College ter Beoordeling van Geneesmiddelen","ACBG","2014","VWS","262","778","3271","0","4049","0","4988","11309","16297","20346","1035","0","432","1467","0","0","18879","20346","215","713","38229","39157","0","16","0","691","39864","24504","11802","36306","2345","781","0","0","0","39432","432"
"Volksgezondheid, Welzijn en Sport","XVI, Volksgezondheid, Welzijn en Sport","XVI","Volksgezondheid, Welzijn en Sport","Almata","Almata","2014","VWS","0","0","0","0","0","0","291","273","564","564","563","0","-7","556","0","0","8","564","4964","181","0","5145","0","0","688","0","5833","3092","1563","4655","706","0","479","0","0","5840","-7"
"Volksgezondheid, Welzijn en Sport","XVI, Volksgezondheid, Welzijn en Sport","XVI","Volksgezondheid, Welzijn en Sport","CIBG","CIBG","2014","VWS","209","10758","30","0","10788","307","8870","15518","24695","35483","2800","0","-722","2078","0","136","33269","35483","22326","2200","18338","42864","0","18","0","0","42882","19982","22008","41990","1603","0","0","11","0","43604","-722"
"Volksgezondheid, Welzijn en Sport","XVI, Volksgezondheid, Welzijn en Sport","XVI","Volksgezondheid, Welzijn en Sport","Lindenhorst","Lindenhorst","2014","VWS","0","0","0","0","0","0","317","30938","31255","31255","1324","0","535","1859","0","0","29396","31255","51867","0","290","52157","0","0","1043","0","53200","4561","47173","51734","493","0","438","0","0","52665","535"
"Volksgezondheid, Welzijn en Sport","XVI, Volksgezondheid, Welzijn en Sport","XVI","Volksgezondheid, Welzijn en Sport","Rijksinstituut voor Volksgezondheid en Milieu","RIVM","2014","VWS","1377","42","5898","0","5940","41596","31928","34148","107672","113612","18373","0","-552","17821","10340","0","85451","113612","159026","64229","115370","338625","0","57","740","0","339422","121174","214190","335364","2991","0","1619","0","0","339974","-552"
"Algemene Zaken","III, Algemene Zaken","III","Algemene Zaken","Dienst Publiek en Communicatie","DPC","2015","AZ","138","0","0","0","0","0","6036","19171","25207","25207","3851","0","0","3851","190","0","20386","24427","25214","42767","21919","89900","0","0","376","8","90284","12385","76768","89153","0","0","352","0","0","89505","779"
"Binnenlandse Zaken en Koninkrijksrelaties","VII, Binnenlandse Zaken","VII","Binnenlandse Zaken en Koninkrijksrelaties","Rijksdienst voor Identiteitsgegevens","RVIG","2015","BZK","116","1445","7824","0","9269","0","9159","74067","83226","92495","5400","48226","0","53626","0","2500","35446","91572","30128","0","120852","150980","0","30","0","1738","152748","14989","106648","121637","3445","0","0","55","26688","151825","923"
"Binnenlandse Zaken en Koninkrijksrelaties","VII, Binnenlandse Zaken","VII","Binnenlandse Zaken en Koninkrijksrelaties","Dienst Huurcommissie","DHC","2015","BZK","70","1307","81","0","1388","2005","457","4282","6744","8132","708","0","0","708","2245","0","5152","8105","11416","0","888","12304","0","0","68","2902","15274","6670","5592","12262","831","0","378","0","1776","15247","27"
"Binnenlandse Zaken en Koninkrijksrelaties","VII, Binnenlandse Zaken","VII","Binnenlandse Zaken en Koninkrijksrelaties","FM Haaglanden","FMH","2015","BZK","426","0","34033","0","34033","0","7564","19348","26912","60945","5570","0","0","5570","15","23515","24159","53259","24716","99900","52","124668","0","0","27","0","124695","34925","75584","110509","6096","0","0","404","0","117009","7686"
"Binnenlandse Zaken en Koninkrijksrelaties","VII, Binnenlandse Zaken","VII","Binnenlandse Zaken en Koninkrijksrelaties","Logius","Logius","2015","BZK","224","0","3594","0","3594","0","8931","56540","65471","69065","3141","0","0","3141","0","2714","61577","67432","88599","51249","5778","145626","0","43","0","294","145963","50870","92229","143099","1229","0","0","2","0","144330","1633"
"Binnenlandse Zaken en Koninkrijksrelaties","VII, Binnenlandse Zaken","VII","Binnenlandse Zaken en Koninkrijksrelaties","P-Direkt","P-Direkt","2015","BZK","509","52648","248","0","52896","0","3036","4495","7531","60427","3618","0","0","3618","204","31688","25610","61120","69644","6738","10","76392","0","0","35","0","76427","38414","24773","63187","12261","0","0","1672","0","77120","-693"
"Binnenlandse Zaken en Koninkrijksrelaties","VII, Binnenlandse Zaken","VII","Binnenlandse Zaken en Koninkrijksrelaties","Rijksgebouwendienst","RGD","2015","BZK","831","0","5482496","348283","5830779","307442","71839","615649","994930","6825709","188821","0","0","188821","123174","5058467","1440500","6810962","15172","1100403","11673","1127248","0","3453","6535","82306","1219542","0","0","0","314370","593636","45898","204043","46848","1204795","14747"
"Binnenlandse Zaken en Koninkrijksrelaties","VII, Binnenlandse Zaken","VII","Binnenlandse Zaken en Koninkrijksrelaties","Rijksvastgoed- en ontwikkelingsbedrijf","RVOB","2015","BZK","215","0","79","0","79","126712","2489","118200","247401","247480","12771","0","0","12771","19","207692","24078","244560","21746","498","4070","26314","0","169","0","266","26749","17821","4391","22212","50","0","5","0","1562","23829","2920"
"Binnenlandse Zaken en Koninkrijksrelaties","VII, Binnenlandse Zaken","VII","Binnenlandse Zaken en Koninkrijksrelaties","Shared service center ICT","SSC-ICT","2015","BZK","650","0","54585","0","54585","2","34085","34741","68828","123413","7490","0","0","7490","5500","39305","75823","128118","44494","174021","0","218515","0","0","0","2979","221494","105795","91757","197552","25601","168","0","0","2879","226200","-4706"
"Binnenlandse Zaken en Koninkrijksrelaties","VII, Binnenlandse Zaken","VII","Binnenlandse Zaken en Koninkrijksrelaties","Uitvoeringsbedrijf Bedrijfsvoering Rijk","UBR","2015","BZK","1045","3049","2491","0","5540","7","39235","8427","47669","53209","61","0","0","61","11629","1768","40520","53978","35171","94483","6074","135728","0","0","270","0","135998","96932","36994","133926","1442","0","423","0","975","136766","-768"
"Binnenlandse Zaken en Koninkrijksrelaties","VII, Binnenlandse Zaken","VII","Binnenlandse Zaken en Koninkrijksrelaties","Dienst Vastgoed Defensie","DVD","2015","BZK","731","0","0","0","0","12297","20587","14534","47418","47418","4961","0","0","4961","0","0","46588","51549","1125","189867","434","191426","2667","0","0","289","194382","51959","146038","197997","0","0","0","8","508","198513","-4131"
"Defensie","X, Defensie","X","Defensie","Defensie Telematica Organisatie","DTO","2015","DEF","1559","13536","81496","0","95032","1706","46514","7731","55951","150983","16981","0","0","16981","0","55060","83735","155776","265237","36258","31","301526","0","95","0","0","301621","158790","117096","275886","23691","0","0","507","6330","306414","-4793"
"Defensie","X, Defensie","X","Defensie","Paresto","Paresto","2015","DEF","814","0","0","0","0","5815","3758","8660","18233","18233","4055","0","0","4055","3215","0","11365","18635","70592","0","645","71237","0","30","148","1030","72445","40321","32379","72700","4","0","143","0","0","72847","-402"
"Economische Zaken","XIII, Economische Zaken","XIII","Economische Zaken","Agentschap Telecom","AT","2015","EZ","255","0","4463","0","4463","0","1852","11715","13567","18030","1625","0","0","1625","508","308","13800","16241","12514","0","22532","35046","0","5","21","334","35406","20531","11550","32081","1914","-1403","35","24","966","33617","1789"
"Economische Zaken","XIII, Economische Zaken","XIII","Economische Zaken","Dienst ICT Uitvoering","Dictu","2015","EZ","503","28203","20768","0","48971","0","32068","4062","36130","85101","0","0","0","0","357","30640","53845","84842","210944","28144","1135","240223","0","0","0","0","240223","136879","90453","227332","11330","0","1086","193","23","239964","259"
"Economische Zaken","XIII, Economische Zaken","XIII","Economische Zaken","Nederlandse Voedsel en Warenautoriteit","NVWA","2015","EZ","2485","10660","32162","0","42822","997","20572","69145","90714","133536","14779","0","0","14779","11810","32985","84684","144258","128935","81334","93913","304182","0","1","345","9421","313949","205135","108047","313182","9682","0","1467","340","0","324671","-10722"
"Economische Zaken","XIII, Economische Zaken","XIII","Economische Zaken","Rijksdienst voor Ondernemend Nederland","RVO","2015","EZ","2815","42966","10534","0","53500","0","29351","48306","77657","131157","20114","0","0","20114","0","90","112762","132966","314859","119877","43670","478406","0","8","0","5762","484176","298013","170176","468189","9472","0","955","443","6927","485986","-1810"
"Infrastructuur en Milieu","XII, Infrastructuur en Milieu","XII","Infrastructuur en Milieu","Inspectie Leefomgeving en Transport","ILT","2015","IenM","1135","0","6114","0","6114","0","1516","40672","42188","48302","7602","0","0","7602","5836","0","33338","46776","132694","460","13602","146756","0","60","247","552","147615","104190","37382","141572","2620","0","1455","0","442","146089","1526"
"Infrastructuur en Milieu","XII, Infrastructuur en Milieu","XII","Infrastructuur en Milieu","Koninklijk Nederlands Meteorologisch Instituut","KNMI","2015","IenM","358","0","11643","0","11643","2778","5479","22333","30590","42233","1783","0","0","1783","643","0","39468","41894","46668","1744","17673","66085","0","25","632","0","66742","30904","19472","50376","2061","13050","642","10","263","66402","340"
"Infrastructuur en Milieu","XII, Infrastructuur en Milieu","XII","Infrastructuur en Milieu","Nederlandse Emissieautoriteit","NEA","2015","IenM","49","2316","5","0","2321","0","277","581","858","3179","364","0","0","364","0","760","2120","3244","7622","0","19","7641","0","0","0","0","7641","5324","1761","7085","0","0","0","13","608","7706","-65"
