Begrotingsjaar,Begrotings hoofdstuk,Verantwoordelijke minister,Naam Begroting,"Type Begroting (zie rbv voor definitie, KB voor II t/m IV, B voor begroting, F voor Fonds)","Begrotingsfase OWB=ontwerpbegroting/VB=vastgestelde begroting,1stesup stand, 2de sup stand, JV jaarverslag stand, SW slotwet stand)",Artikel nummer zoals in het witte stuk,% Juridisch verplicht,Omschrijving artikel,Type Artikel,Indicatie grote uitvoerende dienst op artikel. Zie rbv voor definitie,Programma of Apparaat,V/U/O (Verplichtingen/Uitgaven/Ontvangsten),Indicatie totaal regel J/N,Nr. onderverdeling zoals in de witte stukken,Beleidsmatige clustering,Financieel instrument/Apparaat,"Uitsplitsing fin.instrument cq apparaat zoals in b-tabel staat opm: vul de uitsplitsing aan met een regel overig fin.instrument, zie rbv 1.33d toelichting regel 4. Dit geldt ook voor apparaat",Nadere omschrijving zoals in b-tabel staat,Bedrag t-2,Bedrag t-1,Bedrag t,Bedrag t+1,Bedrag t+2,Bedrag t+3,Bedrag t+4,Naam_Begroting,Naam_artikel
2015,A,M.H. Schultz van Haegen-Maas Geesteranus,Infrastructuurfonds,F,OWB,12,95.0%,Hoofdwegennet,Beleidsartikel,N,Programma,U,N,,Apparaatskosten RWS,,,,381576,355572.7449,338632.9695,333149.6592,328105.5581,325659.6428,325410.546,A_Infrastructuurfonds,12_Hoofdwegennet
2015,A,M.H. Schultz van Haegen-Maas Geesteranus,Infrastructuurfonds,F,OWB,12,95.0%,Hoofdwegennet,Beleidsartikel,N,Programma,V,N,,Apparaatskosten RWS,,,,381576,355572.786079836,338633.188672808,333149.861139543,328106.451381781,325660.451381781,325411.451381781,A_Infrastructuurfonds,12_Hoofdwegennet
2015,A,M.H. Schultz van Haegen-Maas Geesteranus,Infrastructuurfonds,F,OWB,12,95.0%,Hoofdwegennet,Beleidsartikel,N,Programma,U,N,,Beheer en onderhoud HWN,,,,456913,530985.643065051,427979.034838984,486602.175745824,478752,472216.59776,478658.82378,A_Infrastructuurfonds,12_Hoofdwegennet
2015,A,M.H. Schultz van Haegen-Maas Geesteranus,Infrastructuurfonds,F,OWB,12,95.0%,Hoofdwegennet,Beleidsartikel,N,Programma,V,N,,Beheer en onderhoud HWN,,,,561112.313742475,453685.611098763,402578.908677317,433001.654007394,478752.345349131,472216.805774175,478659.446976059,A_Infrastructuurfonds,12_Hoofdwegennet
2015,A,M.H. Schultz van Haegen-Maas Geesteranus,Infrastructuurfonds,F,OWB,12,95.0%,Hoofdwegennet,Beleidsartikel,N,Programma,U,N,,Geïntegreerde contractvormen/PPS,,,,412955.78476,601717,545431,527315,585329,395843,333259,A_Infrastructuurfonds,12_Hoofdwegennet
2015,A,M.H. Schultz van Haegen-Maas Geesteranus,Infrastructuurfonds,F,OWB,12,95.0%,Hoofdwegennet,Beleidsartikel,N,Programma,V,N,,Geïntegreerde contractvormen/PPS,,,,197692.25253,238488.381534039,81535.2390047299,201285.110128405,94873.8793732106,72492.3890302297,74156.6268922745,A_Infrastructuurfonds,12_Hoofdwegennet
2015,A,M.H. Schultz van Haegen-Maas Geesteranus,Infrastructuurfonds,F,OWB,12,95.0%,Hoofdwegennet,Beleidsartikel,N,Programma,U,N,,Investeringsruimte wegen,,,,-0.3151057016,-68399,-61681,-60648,-60163,-49215,-52233,A_Infrastructuurfonds,12_Hoofdwegennet
2015,A,M.H. Schultz van Haegen-Maas Geesteranus,Infrastructuurfonds,F,OWB,12,95.0%,Hoofdwegennet,Beleidsartikel,N,Programma,V,N,,Investeringsruimte wegen,,,,0,-28940.4171996792,-25176.0375494399,-19824.4541279733,-22063.1762341983,-17169.4615872899,-22398.014910386,A_Infrastructuurfonds,12_Hoofdwegennet
2015,A,M.H. Schultz van Haegen-Maas Geesteranus,Infrastructuurfonds,F,OWB,12,95.0%,Hoofdwegennet,Beleidsartikel,N,Programma,O,N,,Ontv. Hoofdwegennet,,,,150886.54832,141028,533670,87200,66346,28414,38276,A_Infrastructuurfonds,12_Hoofdwegennet
2015,A,M.H. Schultz van Haegen-Maas Geesteranus,Infrastructuurfonds,F,OWB,12,95.0%,Hoofdwegennet,Beleidsartikel,N,Programma,U,N,,Overige netwerkgebonden kosten HWN,,,,55268,52384.2551,86041.0305,86092.3408,86142.4419,86135.3572,86143.454,A_Infrastructuurfonds,12_Hoofdwegennet
