Begrotingsjaar,Begrotings hoofdstuk,Verantwoordelijke minister,Naam Begroting,"Type Begroting (zie rbv voor definitie, KB voor II t/m IV, B voor begroting, F voor Fonds)","Begrotingsfase OWB=ontwerpbegroting/VB=vastgestelde begroting,1stesup stand, 2de sup stand, JV jaarverslag stand, SW slotwet stand)",Artikel nummer zoals in het witte stuk,% Juridisch verplicht,Omschrijving artikel,Type Artikel,Indicatie grote uitvoerende dienst op artikel. Zie rbv voor definitie,Programma of Apparaat,V/U/O (Verplichtingen/Uitgaven/Ontvangsten),Indicatie totaal regel J/N,Nr. onderverdeling zoals in de witte stukken,Beleidsmatige clustering,Financieel instrument/Apparaat,"Uitsplitsing fin.instrument cq apparaat zoals in b-tabel staat opm: vul de uitsplitsing aan met een regel overig fin.instrument, zie rbv 1.33d toelichting regel 4. Dit geldt ook voor apparaat",Nadere omschrijving zoals in b-tabel staat,Bedrag t-2,Bedrag t-1,Bedrag t,Bedrag t+1,Bedrag t+2,Bedrag t+3,Bedrag t+4,Naam_Begroting,Naam_artikel
2015,A,M.H. Schultz van Haegen-Maas Geesteranus,Infrastructuurfonds,F,OWB,12,95.0%,Hoofdwegennet,Beleidsartikel,N,Programma,V,N,,Overige netwerkgebonden kosten HWN,,,,55268,53000.2551,86742.0305,86684.3408,86776.4419,86769.3572,86777.454,A_Infrastructuurfonds,12_Hoofdwegennet
2015,A,M.H. Schultz van Haegen-Maas Geesteranus,Infrastructuurfonds,F,OWB,12,95.0%,Hoofdwegennet,Beleidsartikel,N,Programma,U,N,,Realisatie HWN,,,,33279,6162.6769,35355.7014,35806.0738,30105.9387,30095.7935,19991.9992,A_Infrastructuurfonds,12_Hoofdwegennet
2015,A,M.H. Schultz van Haegen-Maas Geesteranus,Infrastructuurfonds,F,OWB,12,95.0%,Hoofdwegennet,Beleidsartikel,N,Programma,U,N,,Realisatie HWN,,,,1027164.7844652,766704.82812656,577582.154032133,347477.482141301,526104.60335072,299697.21628459,690732.092836831,A_Infrastructuurfonds,12_Hoofdwegennet
2015,A,M.H. Schultz van Haegen-Maas Geesteranus,Infrastructuurfonds,F,OWB,12,95.0%,Hoofdwegennet,Beleidsartikel,N,Programma,V,N,,Realisatie HWN,,,,33279,6162.6769,35355.7014,35806.0738,30105.9387,30095.7935,19991.9992,A_Infrastructuurfonds,12_Hoofdwegennet
2015,A,M.H. Schultz van Haegen-Maas Geesteranus,Infrastructuurfonds,F,OWB,12,95.0%,Hoofdwegennet,Beleidsartikel,N,Programma,V,N,,Realisatie HWN,,,,306522.8381,1336820.33077095,541387.262965293,1237224.01252022,392115.544882062,80889.6084305829,122922.615080847,A_Infrastructuurfonds,12_Hoofdwegennet
2015,A,M.H. Schultz van Haegen-Maas Geesteranus,Infrastructuurfonds,F,OWB,12,95.0%,Hoofdwegennet,Beleidsartikel,N,Programma,U,N,,Verkeersmanagement HWN,,,,21794,19421,4038,3617,3617,3617,3618,A_Infrastructuurfonds,12_Hoofdwegennet
2015,A,M.H. Schultz van Haegen-Maas Geesteranus,Infrastructuurfonds,F,OWB,12,95.0%,Hoofdwegennet,Beleidsartikel,N,Programma,V,N,,Verkeersmanagement HWN,,,,21794,19421.1869,4038.279,3617.2454,3617.2454,3617.2454,3618.2575,A_Infrastructuurfonds,12_Hoofdwegennet
2015,A,M.H. Schultz van Haegen-Maas Geesteranus,Infrastructuurfonds,F,OWB,12,95.0%,Hoofdwegennet,Beleidsartikel,N,Programma,U,N,,Verkenning en planuitwerking HWN,,,,3649.2428856697,6375.707160138,19931.3369253467,16097.016367392,16123.9670688618,16602.0099197126,17302.1610434364,A_Infrastructuurfonds,12_Hoofdwegennet
2015,A,M.H. Schultz van Haegen-Maas Geesteranus,Infrastructuurfonds,F,OWB,12,95.0%,Hoofdwegennet,Beleidsartikel,N,Programma,U,N,,Verkenning en planuitwerking HWN,,,,1809.9585157907,9622.7878133012,90452.8076425202,41276.4276913075,362725.490880419,515704.980295697,820058.746919733,A_Infrastructuurfonds,12_Hoofdwegennet
2015,A,M.H. Schultz van Haegen-Maas Geesteranus,Infrastructuurfonds,F,OWB,12,95.0%,Hoofdwegennet,Beleidsartikel,N,Programma,V,N,,Verkenning en planuitwerking HWN,,,,3649.2428856697,6375.707160138,19931.3369253467,16097.016367392,16123.9670688618,16602.0099197126,17302.1610434364,A_Infrastructuurfonds,12_Hoofdwegennet
2015,A,M.H. Schultz van Haegen-Maas Geesteranus,Infrastructuurfonds,F,OWB,12,95.0%,Hoofdwegennet,Beleidsartikel,N,Programma,V,N,,Verkenning en planuitwerking HWN,,,,3191.9552964684,596373.08897529,697434.137821378,1185173.56597624,1431460.8603744,1095085.17441515,1831111.62392331,A_Infrastructuurfonds,12_Hoofdwegennet
2015,A,M.H. Schultz van Haegen-Maas Geesteranus,Infrastructuurfonds,F,OWB,12,95.0%,Hoofdwegennet,Beleidsartikel,N,Programma,U,N,,Vervanging,,,,87441.28965,138820.458944949,230215.752981016,118848.889414176,64683.8508761279,55899,23000,A_Infrastructuurfonds,12_Hoofdwegennet
2015,A,M.H. Schultz van Haegen-Maas Geesteranus,Infrastructuurfonds,F,OWB,12,95.0%,Hoofdwegennet,Beleidsartikel,N,Programma,V,N,,Vervanging,,,,134127.75815,178814.713975108,28542.4314900408,72024.8507676233,17294.3833569817,0,0,A_Infrastructuurfonds,12_Hoofdwegennet
2015,A,M.H. Schultz van Haegen-Maas Geesteranus,Infrastructuurfonds,F,OWB,13,95.0%,Spoorwegen,Beleidsartikel,N,Programma,U,N,,"Beheer, onderhoud en vervanging Spoor",,,,1346811.02548,1333673.5,1240257,1319800,1167051,1110815.49,1185320,A_Infrastructuurfonds,13_Spoorwegen
2015,A,M.H. Schultz van Haegen-Maas Geesteranus,Infrastructuurfonds,F,OWB,13,95.0%,Spoorwegen,Beleidsartikel,N,Programma,V,N,,"Beheer, onderhoud en vervanging Spoor",,,,1337774.42912,1335833.57088,1241404,1320988.9,1168288.7,1112100.73,1186652.64,A_Infrastructuurfonds,13_Spoorwegen
2015,A,M.H. Schultz van Haegen-Maas Geesteranus,Infrastructuurfonds,F,OWB,13,95.0%,Spoorwegen,Beleidsartikel,N,Programma,U,N,,Geïntegreerde contractvormen/PPS Spoor,,,,134674.61635,147829.5,147026,146980,146983,153490.49,156679,A_Infrastructuurfonds,13_Spoorwegen
2015,A,M.H. Schultz van Haegen-Maas Geesteranus,Infrastructuurfonds,F,OWB,13,95.0%,Spoorwegen,Beleidsartikel,N,Programma,V,N,,Geïntegreerde contractvormen/PPS Spoor,,,,24982.941,43.059,31,0,0,0,0,A_Infrastructuurfonds,13_Spoorwegen
2015,A,M.H. Schultz van Haegen-Maas Geesteranus,Infrastructuurfonds,F,OWB,13,95.0%,Spoorwegen,Beleidsartikel,N,Programma,U,N,,Investeringsruimte spoorwegen,,,,0,-17151,-134,8912,-2526,-14626,5331,A_Infrastructuurfonds,13_Spoorwegen
2015,A,M.H. Schultz van Haegen-Maas Geesteranus,Infrastructuurfonds,F,OWB,13,95.0%,Spoorwegen,Beleidsartikel,N,Programma,V,N,,Investeringsruimte spoorwegen,,,,0,97385,18649.6796020437,-6305.5599120956,-14398.4494547032,-14259.4291472445,271908.02539821,A_Infrastructuurfonds,13_Spoorwegen
2015,A,M.H. Schultz van Haegen-Maas Geesteranus,Infrastructuurfonds,F,OWB,13,95.0%,Spoorwegen,Beleidsartikel,N,Programma,O,N,,Ontv. Spoorwegen,,,,202041.69205,120869,232720,177161,193583,192830,204490,A_Infrastructuurfonds,13_Spoorwegen
2015,A,M.H. Schultz van Haegen-Maas Geesteranus,Infrastructuurfonds,F,OWB,13,95.0%,Spoorwegen,Beleidsartikel,N,Programma,V,N,,Planuitwerkingen Personenvervoer,,,,0,2988,0,0,0,0,0,A_Infrastructuurfonds,13_Spoorwegen
2015,A,M.H. Schultz van Haegen-Maas Geesteranus,Infrastructuurfonds,F,OWB,13,95.0%,Spoorwegen,Beleidsartikel,N,Programma,U,N,,Realisatie goederenvervoer,,,,64828.96015,78681.03985,65436,64947,75336,72631,38196,A_Infrastructuurfonds,13_Spoorwegen
2015,A,M.H. Schultz van Haegen-Maas Geesteranus,Infrastructuurfonds,F,OWB,13,95.0%,Spoorwegen,Beleidsartikel,N,Programma,V,N,,Realisatie goederenvervoer,,,,24638.38615,5267.61385,171301,8800,0,0,21428,A_Infrastructuurfonds,13_Spoorwegen
2015,A,M.H. Schultz van Haegen-Maas Geesteranus,Infrastructuurfonds,F,OWB,13,95.0%,Spoorwegen,Beleidsartikel,N,Programma,U,N,,Realisatie personenvervoer,,,,801687.03053,803312.11947,662579.96,700794.6,491120.69,363874.78,306494,A_Infrastructuurfonds,13_Spoorwegen
2015,A,M.H. Schultz van Haegen-Maas Geesteranus,Infrastructuurfonds,F,OWB,13,95.0%,Spoorwegen,Beleidsartikel,N,Programma,V,N,,Realisatie personenvervoer,,,,1283864.59592,418079.40408,237694,107360,78900,570681,462833,A_Infrastructuurfonds,13_Spoorwegen
2015,A,M.H. Schultz van Haegen-Maas Geesteranus,Infrastructuurfonds,F,OWB,13,95.0%,Spoorwegen,Beleidsartikel,N,Programma,U,N,,Rente en aflossing Spoor,,,,16615.72,16578,48397,16597,16597,16597,16597,A_Infrastructuurfonds,13_Spoorwegen
2015,A,M.H. Schultz van Haegen-Maas Geesteranus,Infrastructuurfonds,F,OWB,13,95.0%,Spoorwegen,Beleidsartikel,N,Programma,V,N,,Rente en aflossing Spoor,,,,16615.72,48601.28,16597,16619,16597,16620,16597,A_Infrastructuurfonds,13_Spoorwegen
2015,A,M.H. Schultz van Haegen-Maas Geesteranus,Infrastructuurfonds,F,OWB,13,95.0%,Spoorwegen,Beleidsartikel,N,Programma,U,N,,Verkenningen en planuitwerking Goederenverv.,,,,1314.26165,11482.73835,14073,22638,75584,66136,0,A_Infrastructuurfonds,13_Spoorwegen
2015,A,M.H. Schultz van Haegen-Maas Geesteranus,Infrastructuurfonds,F,OWB,13,95.0%,Spoorwegen,Beleidsartikel,N,Programma,V,N,,Verkenningen en planuitwerking Goederenverv.,,,,13024.60062,22156.39938,2018,146381,1056,0,0,A_Infrastructuurfonds,13_Spoorwegen
2015,A,M.H. Schultz van Haegen-Maas Geesteranus,Infrastructuurfonds,F,OWB,13,95.0%,Spoorwegen,Beleidsartikel,N,Programma,U,N,,Verkenningen en planuitwerking Personenverv.,,,,18360.06619,15929.10233,210246.04,183822.4,268459.31,438134.22,225084,A_Infrastructuurfonds,13_Spoorwegen
2015,A,M.H. Schultz van Haegen-Maas Geesteranus,Infrastructuurfonds,F,OWB,13,95.0%,Spoorwegen,Beleidsartikel,N,Programma,V,N,,Verkenningen en planuitwerking Personenverv.,,,,26790.20166,291471.48156,46226,649100,1132361,66216,68400,A_Infrastructuurfonds,13_Spoorwegen
2015,A,M.H. Schultz van Haegen-Maas Geesteranus,Infrastructuurfonds,F,OWB,14,100.0%,"Regionaal, lokale infrastructuur",Beleidsartikel,N,Programma,U,N,,Investeringsruimte regionaal/lokaal,,,,0,-2410.5244445346,3002.9466262789,3284.290198712,1220.7592213036,1227.501951267,3159.6985465734,A_Infrastructuurfonds,"14_Regionaal, lokale infrastructuur"
2015,A,M.H. Schultz van Haegen-Maas Geesteranus,Infrastructuurfonds,F,OWB,14,100.0%,"Regionaal, lokale infrastructuur",Beleidsartikel,N,Programma,V,N,,Investeringsruimte spoorwegen,,,,0,0,5900,5900,5900,5900,6700,A_Infrastructuurfonds,"14_Regionaal, lokale infrastructuur"
2015,A,M.H. Schultz van Haegen-Maas Geesteranus,Infrastructuurfonds,F,OWB,14,100.0%,"Regionaal, lokale infrastructuur",Beleidsartikel,N,Programma,O,N,,"Ontv. Regionaal, lokale infra",,,,0,600,0,0,0,0,0,A_Infrastructuurfonds,"14_Regionaal, lokale infrastructuur"
2015,A,M.H. Schultz van Haegen-Maas Geesteranus,Infrastructuurfonds,F,OWB,14,100.0%,"Regionaal, lokale infrastructuur",Beleidsartikel,N,Programma,U,N,,Planuitwerking Regionale Infra,,,,-7.27595761418343E-012,11792.36,0.18,4999.54,39532.7808538687,57613.8842875209,2170.5068550901,A_Infrastructuurfonds,"14_Regionaal, lokale infrastructuur"
2015,A,M.H. Schultz van Haegen-Maas Geesteranus,Infrastructuurfonds,F,OWB,14,100.0%,"Regionaal, lokale infrastructuur",Beleidsartikel,N,Programma,V,N,,Planuitwerking Regionale Infra,,,,-69.575,282446.575,3620,76269,0,-1.09139364212751E-011,0,A_Infrastructuurfonds,"14_Regionaal, lokale infrastructuur"
2015,A,M.H. Schultz van Haegen-Maas Geesteranus,Infrastructuurfonds,F,OWB,14,100.0%,"Regionaal, lokale infrastructuur",Beleidsartikel,N,Programma,U,N,,Realisatie Regionale Infra,,,,58663.9642014379,130793.064444535,115078.873373721,99046.169801288,158160.459924828,153000.613761212,108069.794598336,A_Infrastructuurfonds,"14_Regionaal, lokale infrastructuur"
2015,A,M.H. Schultz van Haegen-Maas Geesteranus,Infrastructuurfonds,F,OWB,14,100.0%,"Regionaal, lokale infrastructuur",Beleidsartikel,N,Programma,V,N,,Realisatie Regionale Infra,,,,470352.18141,211415.243961362,4038.1666447445,3882.9288279937,5029.9288279937,10957.7246826058,7232,A_Infrastructuurfonds,"14_Regionaal, lokale infrastructuur"
2015,A,M.H. Schultz van Haegen-Maas Geesteranus,Infrastructuurfonds,F,OWB,14,100.0%,"Regionaal, lokale infrastructuur",Beleidsartikel,N,Programma,U,N,,Regionale Mobiliteitsfondsen,,,,45184.746,9334.254,0,0,0,0,0,A_Infrastructuurfonds,"14_Regionaal, lokale infrastructuur"
2015,A,M.H. Schultz van Haegen-Maas Geesteranus,Infrastructuurfonds,F,OWB,14,100.0%,"Regionaal, lokale infrastructuur",Beleidsartikel,N,Programma,V,N,,Regionale Mobiliteitsfondsen,,,,24000,0,0,0,0,0,0,A_Infrastructuurfonds,"14_Regionaal, lokale infrastructuur"
2015,A,M.H. Schultz van Haegen-Maas Geesteranus,Infrastructuurfonds,F,OWB,14,100.0%,"Regionaal, lokale infrastructuur",Beleidsartikel,N,Programma,U,N,,RSP-ZZL: RB mob.fondsen,,,,108396.957,0.443,0,36050,33700,33034,57927,A_Infrastructuurfonds,"14_Regionaal, lokale infrastructuur"
2015,A,M.H. Schultz van Haegen-Maas Geesteranus,Infrastructuurfonds,F,OWB,14,100.0%,"Regionaal, lokale infrastructuur",Beleidsartikel,N,Programma,V,N,,RSP-ZZL: RB mob.fondsen,,,,108396.557,0.443,0,36050,33700,33034,57927,A_Infrastructuurfonds,"14_Regionaal, lokale infrastructuur"
2015,A,M.H. Schultz van Haegen-Maas Geesteranus,Infrastructuurfonds,F,OWB,14,100.0%,"Regionaal, lokale infrastructuur",Beleidsartikel,N,Programma,U,N,,RSP-ZZL: RB projecten,,,,3432.12702,22287.87298,47158,114348,99556,80611,60884,A_Infrastructuurfonds,"14_Regionaal, lokale infrastructuur"
2015,A,M.H. Schultz van Haegen-Maas Geesteranus,Infrastructuurfonds,F,OWB,14,100.0%,"Regionaal, lokale infrastructuur",Beleidsartikel,N,Programma,V,N,,RSP-ZZL: RB projecten,,,,-0.00001,38065.00001,37259,107883,99205,80611,60884,A_Infrastructuurfonds,"14_Regionaal, lokale infrastructuur"
2015,A,M.H. Schultz van Haegen-Maas Geesteranus,Infrastructuurfonds,F,OWB,14,100.0%,"Regionaal, lokale infrastructuur",Beleidsartikel,N,Programma,U,N,,RSP-ZZL: REP,,,,0,366,16207,16207,16206,16207,16207,A_Infrastructuurfonds,"14_Regionaal, lokale infrastructuur"
2015,A,M.H. Schultz van Haegen-Maas Geesteranus,Infrastructuurfonds,F,OWB,14,100.0%,"Regionaal, lokale infrastructuur",Beleidsartikel,N,Programma,V,N,,RSP-ZZL: REP,,,,0,366,16207,16207,16206,16207,16207,A_Infrastructuurfonds,"14_Regionaal, lokale infrastructuur"
2015,A,M.H. Schultz van Haegen-Maas Geesteranus,Infrastructuurfonds,F,OWB,15,95.0%,Hoofdvaarwegen,Beleidsartikel,N,Programma,U,N,,Apparaatskosten RWS,,,,242391,233811.33991387,222769.2534,220654.326,218739.73053606,217165.83943606,217008.70633606,A_Infrastructuurfonds,15_Hoofdvaarwegen
2015,A,M.H. Schultz van Haegen-Maas Geesteranus,Infrastructuurfonds,F,OWB,15,95.0%,Hoofdvaarwegen,Beleidsartikel,N,Programma,V,N,,Apparaatskosten RWS,,,,242391,224811,213769,211654,209740,208166,208009,A_Infrastructuurfonds,15_Hoofdvaarwegen
2015,A,M.H. Schultz van Haegen-Maas Geesteranus,Infrastructuurfonds,F,OWB,15,95.0%,Hoofdvaarwegen,Beleidsartikel,N,Programma,U,N,,Basispakket verkeersmanagement HVWN,,,,13722,13986,7516,8380,8380,8380,8380,A_Infrastructuurfonds,15_Hoofdvaarwegen
2015,A,M.H. Schultz van Haegen-Maas Geesteranus,Infrastructuurfonds,F,OWB,15,95.0%,Hoofdvaarwegen,Beleidsartikel,N,Programma,V,N,,Basispakket verkeersmanagement HVWN,,,,13722,13966.1978,7493.8667,8360.188,8359.188,8359.188,8359.188,A_Infrastructuurfonds,15_Hoofdvaarwegen
2015,A,M.H. Schultz van Haegen-Maas Geesteranus,Infrastructuurfonds,F,OWB,15,95.0%,Hoofdvaarwegen,Beleidsartikel,N,Programma,U,N,,Beheer en onderhoud HVWN,,,,145561.44,197712.85828,170682.1937,259987.336,199882.8413,200585.1968,193810.8721,A_Infrastructuurfonds,15_Hoofdvaarwegen
2015,A,M.H. Schultz van Haegen-Maas Geesteranus,Infrastructuurfonds,F,OWB,15,95.0%,Hoofdvaarwegen,Beleidsartikel,N,Programma,U,N,,Beheer en onderhoud HVWN,,,,38406.35068,6325.71742,4859.2738,4873.4674,4892.3722,4904.5658,4974.9588,A_Infrastructuurfonds,15_Hoofdvaarwegen
2015,A,M.H. Schultz van Haegen-Maas Geesteranus,Infrastructuurfonds,F,OWB,15,95.0%,Hoofdvaarwegen,Beleidsartikel,N,Programma,V,N,,Beheer en onderhoud HVWN,,,,145566.95497,169202.959512,176607.0214,250168.9015,191386.3309,191659.7283,185607.743,A_Infrastructuurfonds,15_Hoofdvaarwegen
2015,A,M.H. Schultz van Haegen-Maas Geesteranus,Infrastructuurfonds,F,OWB,15,95.0%,Hoofdvaarwegen,Beleidsartikel,N,Programma,V,N,,Beheer en onderhoud HVWN,,,,48038.86374,-2354.79564,3982.2738,3982.4674,4044.3722,4045.5658,4167.9588,A_Infrastructuurfonds,15_Hoofdvaarwegen
2015,A,M.H. Schultz van Haegen-Maas Geesteranus,Infrastructuurfonds,F,OWB,15,95.0%,Hoofdvaarwegen,Beleidsartikel,N,Programma,U,N,,Investeringsruimte Hoofdvaarwegen,,,,-0.1409889379,-19113,-16655,-14336,-10008,-8285,-11442,A_Infrastructuurfonds,15_Hoofdvaarwegen
2015,A,M.H. Schultz van Haegen-Maas Geesteranus,Infrastructuurfonds,F,OWB,15,95.0%,Hoofdvaarwegen,Beleidsartikel,N,Programma,V,N,,Investeringsruimte Hoofdvaarwegen,,,,0,-8785.1274723458,-7427.6031345351,-5951.0285796352,-4585.7513982667,-3558.2517187583,-6586.3517732127,A_Infrastructuurfonds,15_Hoofdvaarwegen
2015,A,M.H. Schultz van Haegen-Maas Geesteranus,Infrastructuurfonds,F,OWB,15,95.0%,Hoofdvaarwegen,Beleidsartikel,N,Programma,O,N,,Ontv. Hoofdvaarwegen,,,,10853.24629,54508,26980,15415,14510,0,0,A_Infrastructuurfonds,15_Hoofdvaarwegen
2015,A,M.H. Schultz van Haegen-Maas Geesteranus,Infrastructuurfonds,F,OWB,15,95.0%,Hoofdvaarwegen,Beleidsartikel,N,Programma,U,N,,Overige netwerkgekosten kosten HVWN,,,,12966,13464.4600861297,23819.7466,23878.674,23988.2694639403,23979.1605639403,23990.2936639403,A_Infrastructuurfonds,15_Hoofdvaarwegen
2015,A,M.H. Schultz van Haegen-Maas Geesteranus,Infrastructuurfonds,F,OWB,15,95.0%,Hoofdvaarwegen,Beleidsartikel,N,Programma,V,N,,Overige netwerkgekosten kosten HVWN,,,,12966,13464.6600861297,23819.7466,23878.674,23988.2694639403,23979.1605639403,23990.2936639403,A_Infrastructuurfonds,15_Hoofdvaarwegen
2015,A,M.H. Schultz van Haegen-Maas Geesteranus,Infrastructuurfonds,F,OWB,15,95.0%,Hoofdvaarwegen,Beleidsartikel,N,Programma,U,N,,Realisatie HVWN,,,,287424.48891,264605.15549,201603.8327,79138.5822,63794.4494,88402.2299,74718.3848,A_Infrastructuurfonds,15_Hoofdvaarwegen
2015,A,M.H. Schultz van Haegen-Maas Geesteranus,Infrastructuurfonds,F,OWB,15,95.0%,Hoofdvaarwegen,Beleidsartikel,N,Programma,V,N,,Realisatie HVWN,,,,169767.23182,235526.46383,150126.8327,77360.5822,17298.4494,-3313.7701,8365.3848,A_Infrastructuurfonds,15_Hoofdvaarwegen
2015,A,M.H. Schultz van Haegen-Maas Geesteranus,Infrastructuurfonds,F,OWB,15,95.0%,Hoofdvaarwegen,Beleidsartikel,N,Programma,U,N,,Verkenningen en planuitwerkingen HVWN,,,,3360.449107005,5201.5920647618,5364.1569256903,4976.3514953912,208.3814945978,374.0330301008,723.8561485545,A_Infrastructuurfonds,15_Hoofdvaarwegen
2015,A,M.H. Schultz van Haegen-Maas Geesteranus,Infrastructuurfonds,F,OWB,15,95.0%,Hoofdvaarwegen,Beleidsartikel,N,Programma,U,N,,Verkenningen en planuitwerkingen HVWN,,,,-0.44,133.2524452382,44158.0103743097,72097.0663046088,133162.169105402,74854.7370698992,117584.759051445,A_Infrastructuurfonds,15_Hoofdvaarwegen
2015,A,M.H. Schultz van Haegen-Maas Geesteranus,Infrastructuurfonds,F,OWB,15,95.0%,Hoofdvaarwegen,Beleidsartikel,N,Programma,V,N,,Verkenningen en planuitwerkingen HVWN,,,,3360.849107005,5201.5920647618,5364.1569256903,4979.3514953912,208.3814945978,374.0330301008,723.8561485545,A_Infrastructuurfonds,15_Hoofdvaarwegen
2015,A,M.H. Schultz van Haegen-Maas Geesteranus,Infrastructuurfonds,F,OWB,15,95.0%,Hoofdvaarwegen,Beleidsartikel,N,Programma,V,N,,Verkenningen en planuitwerkingen HVWN,,,,0,46325,48806,364254,88454,83321,62680,A_Infrastructuurfonds,15_Hoofdvaarwegen
2015,A,M.H. Schultz van Haegen-Maas Geesteranus,Infrastructuurfonds,F,OWB,15,95.0%,Hoofdvaarwegen,Beleidsartikel,N,Programma,U,N,,Vervanging HVWN,,,,94842,94437.0268,79829.3875,24935.1077,21333.0438,6107.2374,1185.1691,A_Infrastructuurfonds,15_Hoofdvaarwegen
2015,A,M.H. Schultz van Haegen-Maas Geesteranus,Infrastructuurfonds,F,OWB,15,95.0%,Hoofdvaarwegen,Beleidsartikel,N,Programma,U,N,,Vervanging HVWN,,,,25757.3591,73722.3975,139481.145,57251.0889,28472.7427,22122,0,A_Infrastructuurfonds,15_Hoofdvaarwegen
2015,A,M.H. Schultz van Haegen-Maas Geesteranus,Infrastructuurfonds,F,OWB,15,95.0%,Hoofdvaarwegen,Beleidsartikel,N,Programma,V,N,,Vervanging HVWN,,,,94842,94437.0268,79829.3875,44935.1077,1333.0438,1107.2374,1185.1691,A_Infrastructuurfonds,15_Hoofdvaarwegen
