Begrotingsjaar,Begrotings hoofdstuk,Verantwoordelijke minister,Naam Begroting,"Type Begroting (zie rbv voor definitie, K voor de Koning, KB voor I t/m IV, B voor begroting, F voor Fonds)","Begrotingsfase OWB=ontwerpbegroting/VB=vastgestelde begroting,1stesup stand, 2de sup stand, JV jaarverslag stand, SW slotwet stand)",Artikel nummer zoals in het witte stuk,% Juridisch verplicht,Omschrijving artikel,Type Artikel,Indicatie grote uitvoerende dienst op artikel. Zie rbv voor definitie,Programma of Apparaat,V/U/O (Verplichtingen/Uitgaven/Ontvangsten),Indicatie totaal regel J/N,Nr. onderverdeling zoals in de witte stukken,Beleidsmatige clustering,Financieel instrument/Apparaat,"Uitsplitsing fin.instrument cq apparaat zoals in b-tabel staat opm: vul de uitsplitsing aan met een regel overig fin.instrument, zie rbv 1.33d toelichting regel 4. Dit geldt ook voor apparaat",Nadere omschrijving zoals in b-tabel staat,Bedrag t-2,Bedrag t-1,Bedrag t,Bedrag t+1,Bedrag t+2,Bedrag t+3,Bedrag t+4,,
2016,I,M. Rutte,De Koning,K,OWB,1,,Grondwettelijke uitkering aan de leden van het Koninklijk Huis,Niet-beleidsartikel,N,Programma,V,J,,,,,,7592,7702,7804,7804,7804,7804,7804,,
2016,I,M. Rutte,De Koning,K,OWB,1,,Grondwettelijke uitkering aan de leden van het Koninklijk Huis,Niet-beleidsartikel,N,Programma,U,J,,,,,,7592,7702,7804,7804,7804,7804,7804,,
2016,I,M. Rutte,De Koning,K,OWB,1,,Grondwettelijke uitkering aan de leden van het Koninklijk Huis,Niet-beleidsartikel,N,Programma,O,J,,,,,,0,0,0,0,0,0,0,,
2016,I,M. Rutte,De Koning,K,OWB,2,,Functionele uitgaven van de Koning,Niet-beleidsartikel,N,Programma,V,J,,,,,,26833,27429,27076,27076,27074,27075,27075,,
2016,I,M. Rutte,De Koning,K,OWB,2,,Functionele uitgaven van de Koning,Niet-beleidsartikel,N,Programma,U,J,,,,,,26833,27429,27076,27076,27074,27075,27075,,
2016,I,M. Rutte,De Koning,K,OWB,2,,Functionele uitgaven van de Koning,Niet-beleidsartikel,N,Programma,O,J,,,,,,65,0,0,0,0,0,0,,
2016,I,M. Rutte,De Koning,K,OWB,3,,Doorbelaste uitgaven van andere begrotingen,Niet-beleidsartikel,N,Programma,V,J,,,,,,5691,5730,5704,5687,5670,5671,5673,,
2016,I,M. Rutte,De Koning,K,OWB,3,,Doorbelaste uitgaven van andere begrotingen,Niet-beleidsartikel,N,Programma,U,J,,,,,,5691,5730,5704,5687,5670,5671,5673,,
2016,I,M. Rutte,De Koning,K,OWB,3,,Doorbelaste uitgaven van andere begrotingen,Niet-beleidsartikel,N,Programma,O,J,,,,,,131,57,0,0,0,0,0,,
2016,IIA,R.H.A. Plasterk,Staten Generaal,KB,OWB,1,,Wetgeving en controle Eerste Kamer,beleidsartikel,N,Programma,V,J,,,,,,"9,915","12,426","13,061","11,708","11,716","11,717","11,719",,
2016,IIA,R.H.A. Plasterk,Staten Generaal,KB,OWB,1,,Wetgeving en controle Eerste Kamer,beleidsartikel,N,Programma,U,J,,,,,,"9,938","12,426","13,061","11,708","11,716","11,717","11,719",,
2016,IIA,R.H.A. Plasterk,Staten Generaal,KB,OWB,1,,Wetgeving en controle Eerste Kamer,beleidsartikel,N,Apparaat,U,N,1,Apparaat Eerste Kamer,,,,"6,528","8,241","9,477","8,124","8,133","8,134","8,136",,
