Begrotingsjaar,Begroting,Verantwoordelijke minister,Naam Begroting,"Type Begroting (zie rbv voor definitie, KB voor II t/m IV, B voor begroting, F voor Fonds)","Begrotingsfase OWB=ontwerpbegroting/VB=vastgestelde begroting,1stesup stand, 2de sup stand, JV jaarverslag stand, SW slotwet stand)",Artikel nummer zoals in het witte stuk,% Juridisch verplicht,Omschrijving artikel,Type Artikel,Indicatie grote uitvoerende dienst op artikel.,"Programma, apparaat en nominaal en onvoorzien",V/U/O (Verplichtingen/Uitgaven/Ontvangsten),Indicatie totaal regel Ja/Nee,Nr. onderverdeling zoals in de witte stukken,Beleidsmatige clustering,Financieel instrument/Apparaat,"Uitsplitsing fin.instrument cq apparaat zoals in b-tabel staat opm: vul de uitsplitsing aan met een regel overig fin.instrument,",Nadere omschrijving zoals in b-tabel staat,Bedrag t-2,Bedrag t-1,Bedrag t,Bedrag t+1,Bedrag t+2,Bedrag t+3,Bedrag t+4,
2017,III,M. Rutte,Algemene Zaken,K,OWB,1,91.80%,Eenheid van het algemeen regeringsbeleid,Beleidsartikel,N,Apparaat,U,N,,,,,,,,,,,,,
2017,III,M. Rutte,Algemene Zaken,K,OWB,1,,Eenheid van het algemeen regeringsbeleid,Beleidsartikel,N,Apparaat,V,J,,,,,,"50,736","58,673","59,461","58,138","58,148","58,156","59,876",
2017,III,M. Rutte,Algemene Zaken,K,OWB,1,,Eenheid van het algemeen regeringsbeleid,Beleidsartikel,N,Apparaat,U,J,,,,,,"56,962","58,673","59,461","58,138","58,148","58,156","59,876",
2017,III,M. Rutte,Algemene Zaken,K,OWB,1,,Eenheid van het algemeen regeringsbeleid,Beleidsartikel,N,Apparaat,U,N,,,,Coördinatie van het algemeen communicatie- en regeringsbeleid,,"1,652","2,160","4,271","4,287","4,288","4,294","4,957",
2017,III,M. Rutte,Algemene Zaken,K,OWB,1,,Eenheid van het algemeen regeringsbeleid,Beleidsartikel,N,Apparaat,U,N,,,,Bijdrage aan de lange termijn beleidsontwikkeling,,583,594,594,594,594,594,594,
2017,III,M. Rutte,Algemene Zaken,K,OWB,1,,Eenheid van het algemeen regeringsbeleid,Beleidsartikel,N,Apparaat,U,J,,,,Apparaat,,"30,004","33,036","32,010","30,671","30,680","30,682","31,739",
2017,III,M. Rutte,Algemene Zaken,K,OWB,1,,Eenheid van het algemeen regeringsbeleid,Beleidsartikel,N,Apparaat,U,N,,,Bijdrage aan agentschappen,Dienst Publiek en Communicatie,,"24,723","22,883","22,586","22,586","22,586","22,586","22,586",
2017,III,M. Rutte,Algemene Zaken,K,OWB,1,,Eenheid van het algemeen regeringsbeleid,Beleidsartikel,N,Apparaat,O,N,,,,,,"4,307","4,621","4,365","4,365","4,365","4,365","4,365",
2017,III,M. Rutte,Kabinet van de Koning,K,OWB,1,,Kabinet van de Koning,Beleidsartikel,N,Apparaat,V,J,,,,Kabinet van de Koning,,"2,354","2,436","2,390","2,372","2,373","2,376","2,376",
2017,III,M. Rutte,Kabinet van de Koning,K,OWB,1,,Kabinet van de Koning,Beleidsartikel,N,Apparaat,U,J,,,,Kabinet van de Koning,,"2,354","2,436","2,390","2,372","2,373","2,376","2,376",
2017,III,M. Rutte,Kabinet van de Koning,K,OWB,1,,Kabinet van de Koning,Beleidsartikel,N,Apparaat,O,J,,,,Kabinet van de Koning,,"2,355","2,436","2,390","2,372","2,373","2,376","2,376",
2017,III,M. Rutte,Commissie van Toezicht betreffende de Inlichtingen- en Veiligheidsdiensten,K,OWB,1,,Commissie van Toezicht betreffende de Inlichtingen- en Veiligheidsdiensten,Beleidsartikel,N,Apparaat,V,J,,,,Commissie van Toezicht betreffende de Inlichtingen- en Veiligheidsdiensten,,"1,272","1,623","1,620","1,620","1,620","1,620","1,620",
2017,III,M. Rutte,Commissie van Toezicht betreffende de Inlichtingen- en Veiligheidsdiensten,K,OWB,1,,Commissie van Toezicht betreffende de Inlichtingen- en Veiligheidsdiensten,Beleidsartikel,N,Apparaat,U,J,,,,Commissie van Toezicht betreffende de Inlichtingen- en Veiligheidsdiensten,,"1,272","1,623","1,620","1,620","1,620","1,620","1,620",
2017,III,M. Rutte,Commissie van Toezicht betreffende de Inlichtingen- en Veiligheidsdiensten,K,OWB,1,,Commissie van Toezicht betreffende de Inlichtingen- en Veiligheidsdiensten,Beleidsartikel,N,Apparaat,O,J,,,,Commissie van Toezicht betreffende de Inlichtingen- en Veiligheidsdiensten,,70,0,0,0,0,0,0,
2017,I,M. Rutte,De Koning,K,OWB,1,,Grondwettelijke uitkering aan de leden van het Koninklijk Huis,Niet beleidsartikel,N,Programma,V,J,,,,,,7741,7804,8009,8009,8009,8009,8110,
