Begrotingsjaar,Begroting,Verantwoordelijke minister,Naam Begroting,"Type Begroting (zie rbv voor definitie, KB voor II t/m IV, B voor begroting, F voor Fonds)","Begrotingsfase OWB=ontwerpbegroting/VB=vastgestelde begroting,1stesup stand, 2de sup stand, JV jaarverslag stand, SW slotwet stand)",Artikel nummer zoals in het witte stuk,% Juridisch verplicht,Omschrijving artikel,Type Artikel,Indicatie grote uitvoerende dienst op artikel.,"Programma, apparaat en nominaal en onvoorzien",V/U/O (Verplichtingen/Uitgaven/Ontvangsten),Indicatie totaal regel Ja/Nee,Nr. onderverdeling zoals in de witte stukken,Beleidsmatige clustering,Financieel instrument/Apparaat,"Uitsplitsing fin.instrument cq apparaat zoals in b-tabel staat opm: vul de uitsplitsing aan met een regel overig fin.instrument,",Nadere omschrijving zoals in b-tabel staat,Bedrag t-2,Bedrag t-1,Bedrag t,Bedrag t+1,Bedrag t+2,Bedrag t+3,Bedrag t+4,
2017,V,A.G. Koenders,Buitenlandse Zaken,B,OWB,1,,Versterkte internationale rechtsorde en eerbiediging van mensenrechten,Beleidsartikel,N,Programma,U,N,1.2,Bescherming en bevordering van mensenrechten,Subsidies,Bevordering van het vrije woord,,15000,14000,14000,14000,14000,,,
2017,V,A.G. Koenders,Buitenlandse Zaken,B,OWB,1,,Versterkte internationale rechtsorde en eerbiediging van mensenrechten,Beleidsartikel,N,Programma,U,N,1.2,Bescherming en bevordering van mensenrechten,Bijdragen (inter)nationale organisaties,Landenprogramma's mensenrechten,,29292,21505,19705,19705,19705,,,
2017,V,A.G. Koenders,Buitenlandse Zaken,B,OWB,1,,Versterkte internationale rechtsorde en eerbiediging van mensenrechten,Beleidsartikel,N,Programma,U,N,1.2,Bescherming en bevordering van mensenrechten,Bijdragen (inter)nationale organisaties,Centrale mensenrechtenprogramma's,,7747,7677,7494,7650,7650,,,
2017,V,A.G. Koenders,Buitenlandse Zaken,B,OWB,2,,Veiligheid en stabiliteit,Beleidsartikel,N,Programma,U,N,2.1,Goede internationale samenwerking ter bevordering van de eigen en bondgenootschappelijke veiligheid,Subsidies,Programma ondersteuning buitenlands beleid,,4437,3250,2250,2250,2250,,,
2017,V,A.G. Koenders,Buitenlandse Zaken,B,OWB,2,,Veiligheid en stabiliteit,Beleidsartikel,N,Programma,U,N,2.1,Goede internationale samenwerking ter bevordering van de eigen en bondgenootschappelijke veiligheid,Subsidies,Atlantische Commissie,,501,500,500,500,500,500,500,
2017,V,A.G. Koenders,Buitenlandse Zaken,B,OWB,2,,Veiligheid en stabiliteit,Beleidsartikel,N,Programma,U,N,2.1,Goede internationale samenwerking ter bevordering van de eigen en bondgenootschappelijke veiligheid,Bijdragen (inter)nationale organisaties,NAVO,,13031,13221,8664,7200,7200,7200,7200,
2017,V,A.G. Koenders,Buitenlandse Zaken,B,OWB,2,,Veiligheid en stabiliteit,Beleidsartikel,N,Programma,U,N,2.1,Goede internationale samenwerking ter bevordering van de eigen en bondgenootschappelijke veiligheid,Bijdragen (inter)nationale organisaties,Veiligheidsfonds,,3940,1700,2000,500,500,,,
2017,V,A.G. Koenders,Buitenlandse Zaken,B,OWB,2,,Veiligheid en stabiliteit,Beleidsartikel,N,Programma,U,N,2.1,Goede internationale samenwerking ter bevordering van de eigen en bondgenootschappelijke veiligheid,Bijdragen (inter)nationale organisaties,WEU,,673,565,565,565,565,560,560,
2017,V,A.G. Koenders,Buitenlandse Zaken,B,OWB,2,,Veiligheid en stabiliteit,Beleidsartikel,N,Programma,U,N,2.2,Bestrijding en terugdringing van internationaal terrorisme en andere vormen van internationale criminaliteit,Subsidies,Anti-terrorisme instituut,,700,850,765,665,550,550,550,
2017,V,A.G. Koenders,Buitenlandse Zaken,B,OWB,2,,Veiligheid en stabiliteit,Beleidsartikel,N,Programma,U,N,2.2,Bestrijding en terugdringing van internationaal terrorisme en andere vormen van internationale criminaliteit,Opdrachten,Global Forum on Cyber Expertise,,5475,480,400,400,400,,,
2017,V,A.G. Koenders,Buitenlandse Zaken,B,OWB,2,,Veiligheid en stabiliteit,Beleidsartikel,N,Programma,U,N,2.2,Bestrijding en terugdringing van internationaal terrorisme en andere vormen van internationale criminaliteit,Bijdragen (inter)nationale organisaties,Contra-terrorisme,,,6800,6600,7200,5200,,,
2017,V,A.G. Koenders,Buitenlandse Zaken,B,OWB,2,,Veiligheid en stabiliteit,Beleidsartikel,N,Programma,U,N,2.3,"Bevordering van ontwapening en wapenbeheersing, bestrijding van proliferatie van massavernietigingswapens en het voeren van een transparant en verantwoord wapenexportbeleid",Bijdragen (inter)nationale organisaties,IAEA,,6968,7317,7317,7317,7317,7300,7300,
2017,V,A.G. Koenders,Buitenlandse Zaken,B,OWB,2,,Veiligheid en stabiliteit,Beleidsartikel,N,Programma,U,N,2.3,"Bevordering van ontwapening en wapenbeheersing, bestrijding van proliferatie van massavernietigingswapens en het voeren van een transparant en verantwoord wapenexportbeleid",Bijdragen (inter)nationale organisaties,OPCW en andere ontwapeningsorganisaties,,3997,5057,1557,1557,1557,1600,1600,
2017,V,A.G. Koenders,Buitenlandse Zaken,B,OWB,2,,Veiligheid en stabiliteit,Beleidsartikel,N,Programma,U,N,2.3,"Bevordering van ontwapening en wapenbeheersing, bestrijding van proliferatie van massavernietigingswapens en het voeren van een transparant en verantwoord wapenexportbeleid",Bijdragen (inter)nationale organisaties,CTBTO,,1680,1920,1920,1920,1920,1900,1900,
2017,V,A.G. Koenders,Buitenlandse Zaken,B,OWB,2,,Veiligheid en stabiliteit,Beleidsartikel,N,Programma,U,N,2.4,"Bevordering van veiligheid, stabiliteit en rechtsorde in internationaal verband",Subsidies,Landenprogramma's veiligheid voor mensen (stabiliteitsfonds),,33923,31500,26500,26500,26500,,,
2017,V,A.G. Koenders,Buitenlandse Zaken,B,OWB,2,,Veiligheid en stabiliteit,Beleidsartikel,N,Programma,U,N,2.4,"Bevordering van veiligheid, stabiliteit en rechtsorde in internationaal verband",Subsidies,Nederland Helsinki Comité,,28,28,28,28,28,30,30,
2017,V,A.G. Koenders,Buitenlandse Zaken,B,OWB,2,,Veiligheid en stabiliteit,Beleidsartikel,N,Programma,U,N,2.4,"Bevordering van veiligheid, stabiliteit en rechtsorde in internationaal verband",Bijdragen (inter)nationale organisaties,OVSE,,5775,7195,7195,7195,7195,7000,7000,
2017,V,A.G. Koenders,Buitenlandse Zaken,B,OWB,2,,Veiligheid en stabiliteit,Beleidsartikel,N,Programma,U,N,2.4,"Bevordering van veiligheid, stabiliteit en rechtsorde in internationaal verband",Bijdragen (inter)nationale organisaties,VN-contributie voor crisisbeheersingsoperaties,,73064,126000,99800,99800,99800,99000,99000,
2017,V,A.G. Koenders,Buitenlandse Zaken,B,OWB,2,,Veiligheid en stabiliteit,Beleidsartikel,N,Programma,U,N,2.4,"Bevordering van veiligheid, stabiliteit en rechtsorde in internationaal verband",Bijdragen (inter)nationale organisaties,waarvan landenprogramma's veiligheid voor mensen (stabiliteitsfonds),,66975,64146,55400,51900,51900,,,
2017,V,A.G. Koenders,Buitenlandse Zaken,B,OWB,2,,Veiligheid en stabiliteit,Beleidsartikel,N,Programma,U,N,2.4,"Bevordering van veiligheid, stabiliteit en rechtsorde in internationaal verband",Bijdragen (inter)nationale organisaties,Training buitenlandse diplomaten,,,1400,2300,2500,2500,,,
2017,V,A.G. Koenders,Buitenlandse Zaken,B,OWB,2,,Veiligheid en stabiliteit,Beleidsartikel,N,Programma,U,N,2.5,Bevordering van transitie in prioritaire gebieden,Bijdragenovereenkomst,Nederlands Fonds voor Regionale Partnerschappen (NFRP); 'MATRA',,10310,11997,10322,7822,7822,,,
2017,V,A.G. Koenders,Buitenlandse Zaken,B,OWB,2,,Veiligheid en stabiliteit,Beleidsartikel,N,Programma,U,N,2.5,Bevordering van transitie in prioritaire gebieden,Bijdragen (inter)nationale organisaties,Nederlands Fonds voor Regionale Partnerschappen (NFRP); 'Shiraka',,8609,11775,11706,12435,12700,,,
2017,V,A.G. Koenders,Buitenlandse Zaken,B,OWB,2,,Veiligheid en stabiliteit,Beleidsartikel,N,Programma,O,N,2.10,Ontvangsten,,Doorberekening Defensie diversen,,167,197,212,227,242,242,242,
2017,V,A.G. Koenders,Buitenlandse Zaken,B,OWB,2,,Veiligheid en stabiliteit,Beleidsartikel,N,Programma,O,N,2.40,Ontvangsten,,Restituties contributies,,6566,1000,1000,1000,1000,1000,1000,
2017,V,A.G. Koenders,Buitenlandse Zaken,B,OWB,3,,Europese samenwerking,Beleidsartikel,N,Programma,U,N,3.1,"Een democratische, slagvaardige en transparante Europese Unie die haar burgers vrijheid, recht, veiligheid, welvaart en duurzame economische groei biedt",Bijdragen (inter)nationale organisaties,BNP-afdracht,,5088571,4494551,3816502,4708833,4527738,4597192,4729092,
2017,V,A.G. Koenders,Buitenlandse Zaken,B,OWB,3,,Europese samenwerking,Beleidsartikel,N,Programma,U,N,3.1,"Een democratische, slagvaardige en transparante Europese Unie die haar burgers vrijheid, recht, veiligheid, welvaart en duurzame economische groei biedt",Bijdragen (inter)nationale organisaties,BTW-afdracht,,888839,781094,520278,537213,547354,565037,581984,
2017,V,A.G. Koenders,Buitenlandse Zaken,B,OWB,3,,Europese samenwerking,Beleidsartikel,N,Programma,U,N,3.1,"Een democratische, slagvaardige en transparante Europese Unie die haar burgers vrijheid, recht, veiligheid, welvaart en duurzame economische groei biedt",Bijdragen (inter)nationale organisaties,Invoerrechten,,2918861,3023333,3204267,3268352,333719,3400393,3502405,
2017,V,A.G. Koenders,Buitenlandse Zaken,B,OWB,3,,Europese samenwerking,Beleidsartikel,N,Programma,U,N,3.2,"Een effectief, efficient en cohorent optreden van de Unie ten opzichte van derde landen en regio's, inclusief ontwikkelingslanden",Bijdragen (inter)nationale organisaties,Europees Ontwikkelingsfonds,,159711,181875,201275,192735,192735,192000,192000,
2017,V,A.G. Koenders,Buitenlandse Zaken,B,OWB,3,,Europese samenwerking,Beleidsartikel,N,Programma,U,N,3.3,Een hechtere Europese waardengemeenschap,Bijdragen (inter)nationale organisaties,Europees Ontwikkelingsfonds,,9748,10100,10100,10100,10100,10100,10100,
2017,V,A.G. Koenders,Buitenlandse Zaken,B,OWB,3,,Europese samenwerking,Beleidsartikel,N,Programma,U,N,3.4,Versterkte Nederlandse positie in de Unie van 28,Bijdragen (inter)nationale organisaties,Benelux bijdrage,,3944,3979,3979,3979,3979,3979,3979,
2017,V,A.G. Koenders,Buitenlandse Zaken,B,OWB,3,,Europese samenwerking,Beleidsartikel,N,Programma,U,N,3.4,Versterkte Nederlandse positie in de Unie van 28,Bijdragen (inter)nationale organisaties,EIPA,,348,348,348,348,348,340,340,
2017,V,A.G. Koenders,Buitenlandse Zaken,B,OWB,3,,Europese samenwerking,Beleidsartikel,N,Programma,O,N,3.10,Perceptiekostenvergoedingen,,Invoerrechten,,717644,696489,640853,653670,666744,680079,700481,
2017,V,A.G. Koenders,Buitenlandse Zaken,B,OWB,3,,Europese samenwerking,Beleidsartikel,N,Programma,O,N,3.30,Restitutie Raad van Europa,,,,236,150,150,150,150,150,150,
2017,V,A.G. Koenders,Buitenlandse Zaken,B,OWB,4,,Consulaire belangenbehartiging en het internationaal uitdragen van Nederlandse waarden en belangen,Beleidsartikel,N,Programma,U,N,4.1,Op basis van eigen verantwoordelijkheid consulaire dienstverlening bieden aan Nederlanders in het buitenland,Subsidies,Gedetineerdenbegeleiding,,2041,1800,1800,1800,1800,,,
2017,V,A.G. Koenders,Buitenlandse Zaken,B,OWB,4,,Consulaire belangenbehartiging en het internationaal uitdragen van Nederlandse waarden en belangen,Beleidsartikel,N,Programma,U,N,4.1,Op basis van eigen verantwoordelijkheid consulaire dienstverlening bieden aan Nederlanders in het buitenland,Opdrachten,Consulaire bijstand,,236,259,259,259,259,,,
2017,V,A.G. Koenders,Buitenlandse Zaken,B,OWB,4,,Consulaire belangenbehartiging en het internationaal uitdragen van Nederlandse waarden en belangen,Beleidsartikel,N,Programma,U,N,4.1,Op basis van eigen verantwoordelijkheid consulaire dienstverlening bieden aan Nederlanders in het buitenland,Opdrachten,Gedetineerdenbegeleiding,,200,200,200,200,200,,,
2017,V,A.G. Koenders,Buitenlandse Zaken,B,OWB,4,,Consulaire belangenbehartiging en het internationaal uitdragen van Nederlandse waarden en belangen,Beleidsartikel,N,Programma,U,N,4.1,Op basis van eigen verantwoordelijkheid consulaire dienstverlening bieden aan Nederlanders in het buitenland,Opdrachten,Reisdocumenten en verkiezingen,,5434,5345,5345,5345,5345,,,
2017,V,A.G. Koenders,Buitenlandse Zaken,B,OWB,4,,Consulaire belangenbehartiging en het internationaal uitdragen van Nederlandse waarden en belangen,Beleidsartikel,N,Programma,U,N,4.1,Op basis van eigen verantwoordelijkheid consulaire dienstverlening bieden aan Nederlanders in het buitenland,Opdrachten,Consulaire opleidingen,,198,400,400,400,400,,,
2017,V,A.G. Koenders,Buitenlandse Zaken,B,OWB,4,,Consulaire belangenbehartiging en het internationaal uitdragen van Nederlandse waarden en belangen,Beleidsartikel,N,Programma,U,N,4.1,Op basis van eigen verantwoordelijkheid consulaire dienstverlening bieden aan Nederlanders in het buitenland,Opdrachten,Consulaire informatiesystemen,,6864,5500,3761,3761,3761,,,
2017,V,A.G. Koenders,Buitenlandse Zaken,B,OWB,4,,Consulaire belangenbehartiging en het internationaal uitdragen van Nederlandse waarden en belangen,Beleidsartikel,N,Programma,U,N,4.2,Samen met (keten) partners het personenverkeer reguleren,Bijdragen (inter)nationale organisaties,Asiel en migratie,,740,863,863,863,863,,,
2017,V,A.G. Koenders,Buitenlandse Zaken,B,OWB,4,,Consulaire belangenbehartiging en het internationaal uitdragen van Nederlandse waarden en belangen,Beleidsartikel,N,Programma,U,N,4.2,Samen met (keten) partners het personenverkeer reguleren,Opdrachten,Visumverlening,,1200,1100,1100,1100,1100,,,
2017,V,A.G. Koenders,Buitenlandse Zaken,B,OWB,4,,Consulaire belangenbehartiging en het internationaal uitdragen van Nederlandse waarden en belangen,Beleidsartikel,N,Programma,U,N,4.2,Samen met (keten) partners het personenverkeer reguleren,Opdrachten,Ambtsberichtenonderzoek,,41,130,150,150,150,,,
2017,V,A.G. Koenders,Buitenlandse Zaken,B,OWB,4,,Consulaire belangenbehartiging en het internationaal uitdragen van Nederlandse waarden en belangen,Beleidsartikel,N,Programma,U,N,4.2,Samen met (keten) partners het personenverkeer reguleren,Opdrachten,Legalisatie en verificatie,,81,80,80,80,80,,,
2017,V,A.G. Koenders,Buitenlandse Zaken,B,OWB,4,,Consulaire belangenbehartiging en het internationaal uitdragen van Nederlandse waarden en belangen,Beleidsartikel,N,Programma,U,N,4.2,Samen met (keten) partners het personenverkeer reguleren,Opdrachten,Consulaire informatiesystemen,,3264,4961,3011,2906,2906,,,
2017,V,A.G. Koenders,Buitenlandse Zaken,B,OWB,4,,Consulaire belangenbehartiging en het internationaal uitdragen van Nederlandse waarden en belangen,Beleidsartikel,N,Programma,U,N,4.3,Grotere buitenlandse bekendheid met de Nederlandse cultuur,Subsidies,Internationaal cultuurbeleid,,6539,5439,8944,8944,8944,,,
2017,V,A.G. Koenders,Buitenlandse Zaken,B,OWB,4,,Consulaire belangenbehartiging en het internationaal uitdragen van Nederlandse waarden en belangen,Beleidsartikel,N,Programma,U,N,4.4,Het inzetten van Publieksdiplomatie door het Postennetwerk en BZ om het beeld van Nederland in het buitenland te versterken en op een positief realistische manier uit te dragen,Bijdragenovereenkomst,landenprogramma's algemene voorlichting en kleine programma's,,6568,7132,8028,9000,9000,,,
2017,V,A.G. Koenders,Buitenlandse Zaken,B,OWB,4,,Consulaire belangenbehartiging en het internationaal uitdragen van Nederlandse waarden en belangen,Beleidsartikel,N,Programma,U,N,4.4,Het inzetten van Publieksdiplomatie door het Postennetwerk en BZ om het beeld van Nederland in het buitenland te versterken en op een positief realistische manier uit te dragen,Bijdragenovereenkomst,Europese bewustwording,,313,520,520,500,500,,,
2017,V,A.G. Koenders,Buitenlandse Zaken,B,OWB,4,,Consulaire belangenbehartiging en het internationaal uitdragen van Nederlandse waarden en belangen,Beleidsartikel,N,Programma,U,N,4.4,Het inzetten van Publieksdiplomatie door het Postennetwerk en BZ om het beeld van Nederland in het buitenland te versterken en op een positief realistische manier uit te dragen,Subsidies,Instituut Clingendael,,2051,2320,800,800,800,,,
2017,V,A.G. Koenders,Buitenlandse Zaken,B,OWB,4,,Consulaire belangenbehartiging en het internationaal uitdragen van Nederlandse waarden en belangen,Beleidsartikel,N,Programma,U,N,4.4,Het inzetten van Publieksdiplomatie door het Postennetwerk en BZ om het beeld van Nederland in het buitenland te versterken en op een positief realistische manier uit te dragen,Subsidies,Programma ondersteuning buitenlands beleid,,3557,3058,3000,3000,3000,,,
2017,V,A.G. Koenders,Buitenlandse Zaken,B,OWB,4,,Consulaire belangenbehartiging en het internationaal uitdragen van Nederlandse waarden en belangen,Beleidsartikel,N,Programma,U,N,4.4,Het inzetten van Publieksdiplomatie door het Postennetwerk en BZ om het beeld van Nederland in het buitenland te versterken en op een positief realistische manier uit te dragen,Opdrachten,Bezoeken hoogwaardigheidsbekleders en uitgaven Corps Diplomatique en internationale Organisaties,,3931,2500,3000,3000,3000,,,
2017,V,A.G. Koenders,Buitenlandse Zaken,B,OWB,4,,Consulaire belangenbehartiging en het internationaal uitdragen van Nederlandse waarden en belangen,Beleidsartikel,N,Programma,U,N,4.4,Het inzetten van Publieksdiplomatie door het Postennetwerk en BZ om het beeld van Nederland in het buitenland te versterken en op een positief realistische manier uit te dragen,Opdrachten,Adviesraad Internationale vraagstukken,,431,525,525,525,525,,,
2017,V,A.G. Koenders,Buitenlandse Zaken,B,OWB,4,,Consulaire belangenbehartiging en het internationaal uitdragen van Nederlandse waarden en belangen,Beleidsartikel,N,Programma,U,N,4.4,Het inzetten van Publieksdiplomatie door het Postennetwerk en BZ om het beeld van Nederland in het buitenland te versterken en op een positief realistische manier uit te dragen,Opdrachten,Internationale manifestaties en diverse bijdragen,,81,91,50,50,50,,,
2017,V,A.G. Koenders,Buitenlandse Zaken,B,OWB,4,,Consulaire belangenbehartiging en het internationaal uitdragen van Nederlandse waarden en belangen,Beleidsartikel,N,Programma,U,N,4.5,Een aantrekkelijk vestigingsklimaat voor internationale organisaties in Nederland,Bijdragen (inter)nationale organisaties,Speciaal Tribunaal Libanon,,1847,1900,1900,317,,,,
2017,V,A.G. Koenders,Buitenlandse Zaken,B,OWB,4,,Consulaire belangenbehartiging en het internationaal uitdragen van Nederlandse waarden en belangen,Beleidsartikel,N,Programma,U,N,4.5,Een aantrekkelijk vestigingsklimaat voor internationale organisaties in Nederland,Bijdragen (inter)nationale organisaties,Internationaal Strafhof,,7906,1720,1400,1400,1400,1400,1400,
2017,V,A.G. Koenders,Buitenlandse Zaken,B,OWB,4,,Consulaire belangenbehartiging en het internationaal uitdragen van Nederlandse waarden en belangen,Beleidsartikel,N,Programma,U,N,4.5,Een aantrekkelijk vestigingsklimaat voor internationale organisaties in Nederland,Bijdragen (inter)nationale organisaties,Nederland Gastland,,870,1065,670,670,400,,,
2017,V,A.G. Koenders,Buitenlandse Zaken,B,OWB,4,,Consulaire belangenbehartiging en het internationaal uitdragen van Nederlandse waarden en belangen,Beleidsartikel,N,Programma,O,N,4.40,Doorberekening Defensie diversen,,,,774,790,790,790,790,790,790,
2017,V,A.G. Koenders,Buitenlandse Zaken,B,OWB,6,,Nominaal en onvoorzien,Niet beleidsartikel,N,Programma,U,N,6.1,Nominaal en onvoorzien,,,,2,-9549,34158,85368,84084,121365,126223,
2017,V,A.G. Koenders,Buitenlandse Zaken,B,OWB,7,,Apparaat,Niet beleidsartikel,N,Apparaat,U,N,7.1.1,,Personele Uitgaven,Eigen Personeel,,437645,460820,443232,442140,434898,435579,438470,
2017,V,A.G. Koenders,Buitenlandse Zaken,B,OWB,7,,Apparaat,Niet beleidsartikel,N,Apparaat,U,N,7.1.1,,Personele Uitgaven,Externe inhuur,,8500,8500,8000,7500,7500,7000,7000,
2017,V,A.G. Koenders,Buitenlandse Zaken,B,OWB,7,,Apparaat,Niet beleidsartikel,N,Apparaat,U,N,7.1.2,,Materiele uitgaven,,,237259,261161,228009,208360,202474,200591,198018,
2017,V,A.G. Koenders,Buitenlandse Zaken,B,OWB,7,,Apparaat,Niet beleidsartikel,N,Apparaat,U,N,7.1.2,,Materiele uitgaven,waarvan ICT,,41458,39000,35000,35000,35000,35000,35000,
2017,V,A.G. Koenders,Buitenlandse Zaken,B,OWB,7,,Apparaat,Niet beleidsartikel,N,Apparaat,U,N,7.1.2,,Materiele uitgaven,waarvan bijdragen aan SSO's,,53417,66400,55000,55000,55000,55000,55000,
2017,V,A.G. Koenders,Buitenlandse Zaken,B,OWB,7,,Apparaat,Niet beleidsartikel,N,Apparaat,U,N,7.1.2,,Materiele uitgaven,waarvan overige materieel,,142384,155761,138009,118360,112474,110591,108018,
2017,V,A.G. Koenders,Buitenlandse Zaken,B,OWB,7,,Apparaat,Niet beleidsartikel,N,Apparaat,O,N,7.10,Diverse ontvangsten,,,,37228,21450,21450,21450,21450,21450,21450,
2017,VI,G.A. van der Steur,Veiligheid en Justitie,B,OWB,31,,Nationale Politie,Beleidsartikel,N,Programma,U,N,31.2,Bekostiging nationale politie,Bijdrage aan ZBO's/RWT's,Nationale Politie,,"4,861,910","5,320,139",5289210,"5,202,542","5,238,801","5,240,411","5,169,548",
2017,VI,G.A. van der Steur,Veiligheid en Justitie,B,OWB,31,,Nationale Politie,Beleidsartikel,N,Programma,U,N,31.2,Bekostiging nationale politie,Bijdrage aan ZBO's/RWT's,Politieacademie,,"113,991","109,178",102578,"100,814","100,814","100,814","100,814",
2017,VI,G.A. van der Steur,Veiligheid en Justitie,B,OWB,31,,Nationale Politie,Beleidsartikel,N,Programma,U,N,31.2,Bekostiging nationale politie,Bijdrage aan mede-overheden,BES brandweer- en politiekorps,,"21,200","18,692",18494,"18,494","18,494","18,494","18,494",
2017,VI,G.A. van der Steur,Veiligheid en Justitie,B,OWB,31,,Nationale Politie,Beleidsartikel,N,Programma,U,N,31.2,Bekostiging nationale politie,Opdrachten,Gerechtstolken,,"8,508","12,016",12175,"12,175","12,175","12,175","12,175",
2017,VI,G.A. van der Steur,Veiligheid en Justitie,B,OWB,31,,Nationale Politie,Beleidsartikel,N,Programma,U,N,31.3,"Kwaliteit, Arbeidsvoorwaarden en ICT politie",Bijdrage aan ZBO's/RWT's,Internationale Samenwerkingsoperaties,,"11,005","11,077",11049,"11,049","11,049","11,049","11,049",
2017,VI,G.A. van der Steur,Veiligheid en Justitie,B,OWB,31,,Nationale Politie,Beleidsartikel,N,Programma,U,N,31.3,"Kwaliteit, Arbeidsvoorwaarden en ICT politie",Bijdrage aan ZBO's/RWT's,C2000 / GMS,,"105,700","107,492",95306,"95,307","95,307","95,307","95,307",
2017,VI,G.A. van der Steur,Veiligheid en Justitie,B,OWB,31,,Nationale Politie,Beleidsartikel,N,Programma,U,N,31.3,"Kwaliteit, Arbeidsvoorwaarden en ICT politie",Bijdrage aan ZBO's/RWT's,"Overig Kwaliteit, Arbeidsvoorwaarden en ICT politie",,"4,605",822,813,813,813,813,813,
2017,VI,G.A. van der Steur,Veiligheid en Justitie,B,OWB,31,,Nationale Politie,Beleidsartikel,N,Programma,U,N,31.3,"Kwaliteit, Arbeidsvoorwaarden en ICT politie",Bijdrage aan mede-overheden,Bijdrage in het kader van de kwaliteit van de politiezorg,,720,"1,324",1290,790,790,790,790,
2017,VI,G.A. van der Steur,Veiligheid en Justitie,B,OWB,31,,Nationale Politie,Beleidsartikel,N,Programma,U,N,31.3,"Kwaliteit, Arbeidsvoorwaarden en ICT politie",Subsidies,Stichting NL Confidential,,"1,056",710,710,710,710,710,710,
