Begrotingsjaar,Begroting,Verantwoordelijke minister,Naam Begroting,"Type Begroting (zie rbv voor definitie, KB voor II t/m IV, B voor begroting, F voor Fonds)","Begrotingsfase OWB=ontwerpbegroting/VB=vastgestelde begroting,1stesup stand, 2de sup stand, JV jaarverslag stand, SW slotwet stand)",Artikel nummer zoals in het witte stuk,% Juridisch verplicht,Omschrijving artikel,Type Artikel,Indicatie grote uitvoerende dienst op artikel.,"Programma, apparaat en nominaal en onvoorzien",V/U/O (Verplichtingen/Uitgaven/Ontvangsten),Indicatie totaal regel Ja/Nee,Nr. onderverdeling zoals in de witte stukken,Beleidsmatige clustering,Financieel instrument/Apparaat,"Uitsplitsing fin.instrument cq apparaat zoals in b-tabel staat opm: vul de uitsplitsing aan met een regel overig fin.instrument,",Nadere omschrijving zoals in b-tabel staat,Bedrag t-2,Bedrag t-1,Bedrag t,Bedrag t+1,Bedrag t+2,Bedrag t+3,Bedrag t+4,
2017,IIIA,M. Rutte,Algemene Zaken,K,OWB,1,,Eenheid van het algemeen regeringsbeleid,Beleidsartikel,N,Apparaat,U,N,,,,Coördinatie van het algemeen communicatie- en regeringsbeleid,,"1,652","2,160",4271,"4,287","4,288","4,294","4,957",
2017,IIIA,M. Rutte,Algemene Zaken,K,OWB,1,,Eenheid van het algemeen regeringsbeleid,Beleidsartikel,N,Apparaat,U,N,,,,Bijdrage aan de lange termijn beleidsontwikkeling,,583,594,594,594,594,594,594,
2017,IIIA,M. Rutte,Algemene Zaken,K,OWB,1,,Eenheid van het algemeen regeringsbeleid,Beleidsartikel,N,Apparaat,U,N,,,Bijdrage aan agentschappen,Dienst Publiek en Communicatie,,"24,723","22,883",22586,"22,586","22,586","22,586","22,586",
2017,IIIA,M. Rutte,Algemene Zaken,K,OWB,1,,Eenheid van het algemeen regeringsbeleid,Beleidsartikel,N,Apparaat,O,N,,,,,,"4,307","4,621",4365,"4,365","4,365","4,365","4,365",
2017,V,A.G. Koenders,Buitenlandse Zaken,B,OWB,1,,Versterkte internationale rechtsorde en eerbiediging van mensenrechten,Beleidsartikel,N,Programma,U,N,1.1,Goed functionerende internationale instellingen met een breed draagvlak,Subsidies,Internationaal recht,,9678,6585,6135,6135,6135,6135,6135,
2017,V,A.G. Koenders,Buitenlandse Zaken,B,OWB,1,,Versterkte internationale rechtsorde en eerbiediging van mensenrechten,Beleidsartikel,N,Programma,U,N,1.1,Goed functionerende internationale instellingen met een breed draagvlak,Bijdragen (inter)nationale organisaties,Verenigde Naties,,35492,40501,39525,39525,39525,39500,39500,
2017,V,A.G. Koenders,Buitenlandse Zaken,B,OWB,1,,Versterkte internationale rechtsorde en eerbiediging van mensenrechten,Beleidsartikel,N,Programma,U,N,1.1,Goed functionerende internationale instellingen met een breed draagvlak,Bijdragen (inter)nationale organisaties,OESO,,6814,6425,6175,6175,6175,6200,6200,
2017,V,A.G. Koenders,Buitenlandse Zaken,B,OWB,1,,Versterkte internationale rechtsorde en eerbiediging van mensenrechten,Beleidsartikel,N,Programma,U,N,1.1,Goed functionerende internationale instellingen met een breed draagvlak,Bijdragen (inter)nationale organisaties,VN-campagne VN veiligheidsraad,,979,1570,500,,,,,
2017,V,A.G. Koenders,Buitenlandse Zaken,B,OWB,1,,Versterkte internationale rechtsorde en eerbiediging van mensenrechten,Beleidsartikel,N,Programma,U,N,1.1,Goed functionerende internationale instellingen met een breed draagvlak,Bijdragen (inter)nationale organisaties,Internationaal Strafhof,,3274,3300,3300,3300,3300,3300,3300,
2017,V,A.G. Koenders,Buitenlandse Zaken,B,OWB,1,,Versterkte internationale rechtsorde en eerbiediging van mensenrechten,Beleidsartikel,N,Programma,U,N,1.2,Bescherming en bevordering van mensenrechten,Subsidies,Landenprogramma's mensenrechten,,9372,12415,13415,12415,12415,,,
