"Jaar","Begrotingshoofdstuk","Naam Begroting","Begrotings artikel nr","Naam beleidsartikel","Financieel Instrument","Uitsplitsing Bijdrage","Ontvanger","Realisatie (*1000) per bijdrage"
"2014","B","Gemeentefonds","1","Gemeentefonds","Bijdrage aan medeoverheden","Algemene uitkering c.a. en aanvullende uitkering","Gemeenten","15615031,00"
"2014","B","Gemeentefonds","1","Gemeentefonds","Bijdrage aan medeoverheden","Decentralisatie uitkering","Gemeenten","1332341,00"
"2014","B","Gemeentefonds","1","Gemeentefonds","Bijdrage aan medeoverheden","Integratie uitkering","Gemeenten","1760889,00"
"2014","C","Provinciefonds","1","Provinciefonds","Bijdrage aan medeoverheden","Algemene uitkering","Provincies","347342,00"
"2014","C","Provinciefonds","1","Provinciefonds","Bijdrage aan medeoverheden","Decentralisatie uitkering","Provincies","908071,00"
"2014","C","Provinciefonds","1","Provinciefonds","Bijdrage aan medeoverheden","Integratie uitkering","Provincies","40330,00"
"2014","H","BES-fonds","1","BES-Fonds","Bijdrage aan medeoverheden","Vrije uitkering","Bonaire","138,00"
"2014","H","BES-fonds","1","BES-Fonds","Bijdrage aan medeoverheden","Vrije uitkering","Cft Inz Bonaire","22102,00"
"2014","H","BES-fonds","1","BES-Fonds","Bijdrage aan medeoverheden","Vrije uitkering","Cft Inz Saba","8323,00"
"2014","H","BES-fonds","1","BES-Fonds","Bijdrage aan medeoverheden","Vrije uitkering","Cft Inz St Eustatius","7912,00"
"2014","H","BES-fonds","1","BES-Fonds","Bijdrage aan medeoverheden","Vrije uitkering","Saba","130,00"
"2014","H","BES-fonds","1","BES-Fonds","Bijdrage aan medeoverheden","Vrije uitkering","St Eustatius","79,00"
"2014","IV","Koninkrijksrelaties","2","Bevord. autonomie Kon.partners","Bijdrage aan medeoverheden","Sociaal-economische initiatieven BES","Eilands Ontvanger Saba Inkomsten","347,00"
"2014","IV","Koninkrijksrelaties","2","Bevord. autonomie Kon.partners","Bijdrage aan medeoverheden","Sociaal-economische initiatieven BES","Eilands Ontvanger St Eustatius","467,00"
"2014","IV","Koninkrijksrelaties","2","Bevord. autonomie Kon.partners","Bijdrage aan medeoverheden","Sociaal-economische initiatieven BES","Koersverschillen","-14,00"
"2014","IV","Koninkrijksrelaties","2","Bevord. autonomie Kon.partners","Bijdrage aan medeoverheden","Sociaal-economische initiatieven BES","Openbaar Lichaam Bonaire","1032,00"
"2014","VII","Binnenlandse Zaken en Koninkrijksrelaties","1","Openbaar bestuur en democratie","Bijdrage aan medeoverheden","Experiment centrale stemopneming","Gemeente Kampen","29,00"
"2014","VII","Binnenlandse Zaken en Koninkrijksrelaties","1","Openbaar bestuur en democratie","Bijdrage aan medeoverheden","Experiment centrale stemopneming","Gemeente Ouder-Amstel","3,00"
"2014","VII","Binnenlandse Zaken en Koninkrijksrelaties","1","Openbaar bestuur en democratie","Bijdrage aan medeoverheden","Experiment centrale stemopneming","Gemeente Sittard-Geleen","50,00"
"2014","VII","Binnenlandse Zaken en Koninkrijksrelaties","1","Openbaar bestuur en democratie","Bijdrage aan medeoverheden","Experiment centrale stemopneming","Gemeentebestuur Raalte","38,00"
"2014","VII","Binnenlandse Zaken en Koninkrijksrelaties","1","Openbaar bestuur en democratie","Bijdrage aan medeoverheden","Experiment centrale stemopneming","Gemeentebestuur Van Hardenberg","38,00"
"2014","VII","Binnenlandse Zaken en Koninkrijksrelaties","6","Dienstverl. en innov. overheid","Bijdrage aan medeoverheden","Bijdrage aan gemeenten","Gemeentebestuur Van Haarlemermeer","100,00"
