"Jaar","Begrotingshoofdstuk","Naam Begroting","Begrotings artikel nr","Naam beleidsartikel","Financieel Instrument","Uitsplitsing Bijdrage","Ontvanger","Realisatie (*1000) per bijdrage"
"2014","VIII","Onderwijs, Cultuur en Wetenschap","1","Primair Onderwijs","Bijdrage aan medeoverheden","Onderwijs Achterstands Beleid","Gemeente Aa En Hunze","3,00"
"2014","VIII","Onderwijs, Cultuur en Wetenschap","1","Primair Onderwijs","Bijdrage aan medeoverheden","Onderwijs Achterstands Beleid","Gemeente Aalburg","60,00"
"2014","VIII","Onderwijs, Cultuur en Wetenschap","1","Primair Onderwijs","Bijdrage aan medeoverheden","Onderwijs Achterstands Beleid","Gemeente Aalsmeer","130,00"
"2014","VIII","Onderwijs, Cultuur en Wetenschap","1","Primair Onderwijs","Bijdrage aan medeoverheden","Onderwijs Achterstands Beleid","Gemeente Aalten","143,00"
"2014","VIII","Onderwijs, Cultuur en Wetenschap","1","Primair Onderwijs","Bijdrage aan medeoverheden","Onderwijs Achterstands Beleid","Gemeente Achtkarspelen","130,00"
"2014","VIII","Onderwijs, Cultuur en Wetenschap","1","Primair Onderwijs","Bijdrage aan medeoverheden","Onderwijs Achterstands Beleid","Gemeente Alblasserdam","80,00"
"2014","VIII","Onderwijs, Cultuur en Wetenschap","1","Primair Onderwijs","Bijdrage aan medeoverheden","Onderwijs Achterstands Beleid","Gemeente Alkmaar","2179,00"
"2014","VIII","Onderwijs, Cultuur en Wetenschap","1","Primair Onderwijs","Bijdrage aan medeoverheden","Onderwijs Achterstands Beleid","Gemeente Almelo","2974,00"
"2014","VIII","Onderwijs, Cultuur en Wetenschap","1","Primair Onderwijs","Bijdrage aan medeoverheden","Onderwijs Achterstands Beleid","Gemeente Almere","4425,00"
"2014","VIII","Onderwijs, Cultuur en Wetenschap","1","Primair Onderwijs","Bijdrage aan medeoverheden","Onderwijs Achterstands Beleid","Gemeente Alphen Aan Den Rijn","784,00"
"2014","VIII","Onderwijs, Cultuur en Wetenschap","1","Primair Onderwijs","Bijdrage aan medeoverheden","Onderwijs Achterstands Beleid","Gemeente Amersfoort","3887,00"
"2014","VIII","Onderwijs, Cultuur en Wetenschap","1","Primair Onderwijs","Bijdrage aan medeoverheden","Onderwijs Achterstands Beleid","Gemeente Amstelveen","86,00"
"2014","VIII","Onderwijs, Cultuur en Wetenschap","1","Primair Onderwijs","Bijdrage aan medeoverheden","Onderwijs Achterstands Beleid","Gemeente Amsterdam","56863,00"
"2014","VIII","Onderwijs, Cultuur en Wetenschap","1","Primair Onderwijs","Bijdrage aan medeoverheden","Onderwijs Achterstands Beleid","Gemeente Apeldoorn","2841,00"
"2014","VIII","Onderwijs, Cultuur en Wetenschap","1","Primair Onderwijs","Bijdrage aan medeoverheden","Onderwijs Achterstands Beleid","Gemeente Appingedam","32,00"
"2014","VIII","Onderwijs, Cultuur en Wetenschap","1","Primair Onderwijs","Bijdrage aan medeoverheden","Onderwijs Achterstands Beleid","Gemeente Arnhem","5619,00"
"2014","VIII","Onderwijs, Cultuur en Wetenschap","1","Primair Onderwijs","Bijdrage aan medeoverheden","Onderwijs Achterstands Beleid","Gemeente Assen","412,00"
"2014","VIII","Onderwijs, Cultuur en Wetenschap","1","Primair Onderwijs","Bijdrage aan medeoverheden","Onderwijs Achterstands Beleid","Gemeente Asten","92,00"
"2014","VIII","Onderwijs, Cultuur en Wetenschap","1","Primair Onderwijs","Bijdrage aan medeoverheden","Onderwijs Achterstands Beleid","Gemeente Baarn","108,00"
"2014","VIII","Onderwijs, Cultuur en Wetenschap","1","Primair Onderwijs","Bijdrage aan medeoverheden","Onderwijs Achterstands Beleid","Gemeente Barendrecht","134,00"
"2014","VIII","Onderwijs, Cultuur en Wetenschap","1","Primair Onderwijs","Bijdrage aan medeoverheden","Onderwijs Achterstands Beleid","Gemeente Barneveld","665,00"
"2014","VIII","Onderwijs, Cultuur en Wetenschap","1","Primair Onderwijs","Bijdrage aan medeoverheden","Onderwijs Achterstands Beleid","Gemeente Beek","22,00"
"2014","VIII","Onderwijs, Cultuur en Wetenschap","1","Primair Onderwijs","Bijdrage aan medeoverheden","Onderwijs Achterstands Beleid","Gemeente Beesel","86,00"
"2014","VIII","Onderwijs, Cultuur en Wetenschap","1","Primair Onderwijs","Bijdrage aan medeoverheden","Onderwijs Achterstands Beleid","Gemeente Bellingwedde","223,00"
"2014","VIII","Onderwijs, Cultuur en Wetenschap","1","Primair Onderwijs","Bijdrage aan medeoverheden","Onderwijs Achterstands Beleid","Gemeente Bergambacht","3,00"
"2014","VIII","Onderwijs, Cultuur en Wetenschap","1","Primair Onderwijs","Bijdrage aan medeoverheden","Onderwijs Achterstands Beleid","Gemeente Bergen","3,00"
"2014","VIII","Onderwijs, Cultuur en Wetenschap","1","Primair Onderwijs","Bijdrage aan medeoverheden","Onderwijs Achterstands Beleid","Gemeente Bergen","45,00"
"2014","VIII","Onderwijs, Cultuur en Wetenschap","1","Primair Onderwijs","Bijdrage aan medeoverheden","Onderwijs Achterstands Beleid","Gemeente Bergen Op Zoom","1941,00"
"2014","VIII","Onderwijs, Cultuur en Wetenschap","1","Primair Onderwijs","Bijdrage aan medeoverheden","Onderwijs Achterstands Beleid","Gemeente Berkelland","102,00"
"2014","VIII","Onderwijs, Cultuur en Wetenschap","1","Primair Onderwijs","Bijdrage aan medeoverheden","Onderwijs Achterstands Beleid","Gemeente Bernheze","89,00"
"2014","VIII","Onderwijs, Cultuur en Wetenschap","1","Primair Onderwijs","Bijdrage aan medeoverheden","Onderwijs Achterstands Beleid","Gemeente Bernisse","16,00"
"2014","VIII","Onderwijs, Cultuur en Wetenschap","1","Primair Onderwijs","Bijdrage aan medeoverheden","Onderwijs Achterstands Beleid","Gemeente Best","204,00"
"2014","VIII","Onderwijs, Cultuur en Wetenschap","1","Primair Onderwijs","Bijdrage aan medeoverheden","Onderwijs Achterstands Beleid","Gemeente Beuningen","73,00"
"2014","VIII","Onderwijs, Cultuur en Wetenschap","1","Primair Onderwijs","Bijdrage aan medeoverheden","Onderwijs Achterstands Beleid","Gemeente Beverwijk","499,00"
"2014","VIII","Onderwijs, Cultuur en Wetenschap","1","Primair Onderwijs","Bijdrage aan medeoverheden","Onderwijs Achterstands Beleid","Gemeente Binnenmaas","162,00"
"2014","VIII","Onderwijs, Cultuur en Wetenschap","1","Primair Onderwijs","Bijdrage aan medeoverheden","Onderwijs Achterstands Beleid","Gemeente Bladel","35,00"
"2014","VIII","Onderwijs, Cultuur en Wetenschap","1","Primair Onderwijs","Bijdrage aan medeoverheden","Onderwijs Achterstands Beleid","Gemeente Blaricum","35,00"
"2014","VIII","Onderwijs, Cultuur en Wetenschap","1","Primair Onderwijs","Bijdrage aan medeoverheden","Onderwijs Achterstands Beleid","Gemeente Bloemendaal","13,00"
"2014","VIII","Onderwijs, Cultuur en Wetenschap","1","Primair Onderwijs","Bijdrage aan medeoverheden","Onderwijs Achterstands Beleid","Gemeente Bodegraven-Reeuwijk","378,00"
"2014","VIII","Onderwijs, Cultuur en Wetenschap","1","Primair Onderwijs","Bijdrage aan medeoverheden","Onderwijs Achterstands Beleid","Gemeente Boekel","83,00"
"2014","VIII","Onderwijs, Cultuur en Wetenschap","1","Primair Onderwijs","Bijdrage aan medeoverheden","Onderwijs Achterstands Beleid","Gemeente Borger-Odoorn","73,00"
"2014","VIII","Onderwijs, Cultuur en Wetenschap","1","Primair Onderwijs","Bijdrage aan medeoverheden","Onderwijs Achterstands Beleid","Gemeente Borne","54,00"
"2014","VIII","Onderwijs, Cultuur en Wetenschap","1","Primair Onderwijs","Bijdrage aan medeoverheden","Onderwijs Achterstands Beleid","Gemeente Borsele","38,00"
"2014","VIII","Onderwijs, Cultuur en Wetenschap","1","Primair Onderwijs","Bijdrage aan medeoverheden","Onderwijs Achterstands Beleid","Gemeente Boxmeer","54,00"
"2014","VIII","Onderwijs, Cultuur en Wetenschap","1","Primair Onderwijs","Bijdrage aan medeoverheden","Onderwijs Achterstands Beleid","Gemeente Boxtel","284,00"
"2014","VIII","Onderwijs, Cultuur en Wetenschap","1","Primair Onderwijs","Bijdrage aan medeoverheden","Onderwijs Achterstands Beleid","Gemeente Breda","4287,00"
"2014","VIII","Onderwijs, Cultuur en Wetenschap","1","Primair Onderwijs","Bijdrage aan medeoverheden","Onderwijs Achterstands Beleid","Gemeente Brielle","13,00"
"2014","VIII","Onderwijs, Cultuur en Wetenschap","1","Primair Onderwijs","Bijdrage aan medeoverheden","Onderwijs Achterstands Beleid","Gemeente Bronckhorst","10,00"
"2014","VIII","Onderwijs, Cultuur en Wetenschap","1","Primair Onderwijs","Bijdrage aan medeoverheden","Onderwijs Achterstands Beleid","Gemeente Brummen","156,00"
"2014","VIII","Onderwijs, Cultuur en Wetenschap","1","Primair Onderwijs","Bijdrage aan medeoverheden","Onderwijs Achterstands Beleid","Gemeente Brunssum","207,00"
"2014","VIII","Onderwijs, Cultuur en Wetenschap","1","Primair Onderwijs","Bijdrage aan medeoverheden","Onderwijs Achterstands Beleid","Gemeente Bunschoten","336,00"
"2014","VIII","Onderwijs, Cultuur en Wetenschap","1","Primair Onderwijs","Bijdrage aan medeoverheden","Onderwijs Achterstands Beleid","Gemeente Bussum","124,00"
"2014","VIII","Onderwijs, Cultuur en Wetenschap","1","Primair Onderwijs","Bijdrage aan medeoverheden","Onderwijs Achterstands Beleid","Gemeente Capelle Aan Den Ijssel","1140,00"
"2014","VIII","Onderwijs, Cultuur en Wetenschap","1","Primair Onderwijs","Bijdrage aan medeoverheden","Onderwijs Achterstands Beleid","Gemeente Castricum","3,00"
"2014","VIII","Onderwijs, Cultuur en Wetenschap","1","Primair Onderwijs","Bijdrage aan medeoverheden","Onderwijs Achterstands Beleid","Gemeente Coevorden","430,00"
"2014","VIII","Onderwijs, Cultuur en Wetenschap","1","Primair Onderwijs","Bijdrage aan medeoverheden","Onderwijs Achterstands Beleid","Gemeente Cranendonck","150,00"
"2014","VIII","Onderwijs, Cultuur en Wetenschap","1","Primair Onderwijs","Bijdrage aan medeoverheden","Onderwijs Achterstands Beleid","Gemeente Cuijk","333,00"
"2014","VIII","Onderwijs, Cultuur en Wetenschap","1","Primair Onderwijs","Bijdrage aan medeoverheden","Onderwijs Achterstands Beleid","Gemeente Culemborg","728,00"
"2014","VIII","Onderwijs, Cultuur en Wetenschap","1","Primair Onderwijs","Bijdrage aan medeoverheden","Onderwijs Achterstands Beleid","Gemeente Dalfsen","19,00"
"2014","VIII","Onderwijs, Cultuur en Wetenschap","1","Primair Onderwijs","Bijdrage aan medeoverheden","Onderwijs Achterstands Beleid","Gemeente Dantumadiel","6,00"
"2014","VIII","Onderwijs, Cultuur en Wetenschap","1","Primair Onderwijs","Bijdrage aan medeoverheden","Onderwijs Achterstands Beleid","Gemeente De Bilt","146,00"
"2014","VIII","Onderwijs, Cultuur en Wetenschap","1","Primair Onderwijs","Bijdrage aan medeoverheden","Onderwijs Achterstands Beleid","Gemeente De Friese Meren","159,00"
"2014","VIII","Onderwijs, Cultuur en Wetenschap","1","Primair Onderwijs","Bijdrage aan medeoverheden","Onderwijs Achterstands Beleid","Gemeente De Marne","13,00"
"2014","VIII","Onderwijs, Cultuur en Wetenschap","1","Primair Onderwijs","Bijdrage aan medeoverheden","Onderwijs Achterstands Beleid","Gemeente De Ronde Venen","226,00"
"2014","VIII","Onderwijs, Cultuur en Wetenschap","1","Primair Onderwijs","Bijdrage aan medeoverheden","Onderwijs Achterstands Beleid","Gemeente De Wolden","13,00"
"2014","VIII","Onderwijs, Cultuur en Wetenschap","1","Primair Onderwijs","Bijdrage aan medeoverheden","Onderwijs Achterstands Beleid","Gemeente Delft","2246,00"
"2014","VIII","Onderwijs, Cultuur en Wetenschap","1","Primair Onderwijs","Bijdrage aan medeoverheden","Onderwijs Achterstands Beleid","Gemeente Delfzijl","593,00"
"2014","VIII","Onderwijs, Cultuur en Wetenschap","1","Primair Onderwijs","Bijdrage aan medeoverheden","Onderwijs Achterstands Beleid","Gemeente Den Helder","665,00"
"2014","VIII","Onderwijs, Cultuur en Wetenschap","1","Primair Onderwijs","Bijdrage aan medeoverheden","Onderwijs Achterstands Beleid","Gemeente Deurne","92,00"
"2014","VIII","Onderwijs, Cultuur en Wetenschap","1","Primair Onderwijs","Bijdrage aan medeoverheden","Onderwijs Achterstands Beleid","Gemeente Deventer Sectorwco","2826,00"
"2014","VIII","Onderwijs, Cultuur en Wetenschap","1","Primair Onderwijs","Bijdrage aan medeoverheden","Onderwijs Achterstands Beleid","Gemeente Diemen","374,00"
"2014","VIII","Onderwijs, Cultuur en Wetenschap","1","Primair Onderwijs","Bijdrage aan medeoverheden","Onderwijs Achterstands Beleid","Gemeente Dinkelland","25,00"
"2014","VIII","Onderwijs, Cultuur en Wetenschap","1","Primair Onderwijs","Bijdrage aan medeoverheden","Onderwijs Achterstands Beleid","Gemeente Doesburg","153,00"
"2014","VIII","Onderwijs, Cultuur en Wetenschap","1","Primair Onderwijs","Bijdrage aan medeoverheden","Onderwijs Achterstands Beleid","Gemeente Doetinchem","260,00"
"2014","VIII","Onderwijs, Cultuur en Wetenschap","1","Primair Onderwijs","Bijdrage aan medeoverheden","Onderwijs Achterstands Beleid","Gemeente Dongen","146,00"
"2014","VIII","Onderwijs, Cultuur en Wetenschap","1","Primair Onderwijs","Bijdrage aan medeoverheden","Onderwijs Achterstands Beleid","Gemeente Dongeradeel","60,00"
"2014","VIII","Onderwijs, Cultuur en Wetenschap","1","Primair Onderwijs","Bijdrage aan medeoverheden","Onderwijs Achterstands Beleid","Gemeente Dordrecht","5986,00"
"2014","VIII","Onderwijs, Cultuur en Wetenschap","1","Primair Onderwijs","Bijdrage aan medeoverheden","Onderwijs Achterstands Beleid","Gemeente Drimmelen","76,00"
"2014","VIII","Onderwijs, Cultuur en Wetenschap","1","Primair Onderwijs","Bijdrage aan medeoverheden","Onderwijs Achterstands Beleid","Gemeente Dronten","582,00"
"2014","VIII","Onderwijs, Cultuur en Wetenschap","1","Primair Onderwijs","Bijdrage aan medeoverheden","Onderwijs Achterstands Beleid","Gemeente Druten","223,00"
"2014","VIII","Onderwijs, Cultuur en Wetenschap","1","Primair Onderwijs","Bijdrage aan medeoverheden","Onderwijs Achterstands Beleid","Gemeente Echt-Susteren","115,00"
"2014","VIII","Onderwijs, Cultuur en Wetenschap","1","Primair Onderwijs","Bijdrage aan medeoverheden","Onderwijs Achterstands Beleid","Gemeente Edam-Volendam","105,00"
"2014","VIII","Onderwijs, Cultuur en Wetenschap","1","Primair Onderwijs","Bijdrage aan medeoverheden","Onderwijs Achterstands Beleid","Gemeente Ede","2959,00"
"2014","VIII","Onderwijs, Cultuur en Wetenschap","1","Primair Onderwijs","Bijdrage aan medeoverheden","Onderwijs Achterstands Beleid","Gemeente Eemnes","3,00"
"2014","VIII","Onderwijs, Cultuur en Wetenschap","1","Primair Onderwijs","Bijdrage aan medeoverheden","Onderwijs Achterstands Beleid","Gemeente Eemsmond","67,00"
"2014","VIII","Onderwijs, Cultuur en Wetenschap","1","Primair Onderwijs","Bijdrage aan medeoverheden","Onderwijs Achterstands Beleid","Gemeente Eersel","25,00"
"2014","VIII","Onderwijs, Cultuur en Wetenschap","1","Primair Onderwijs","Bijdrage aan medeoverheden","Onderwijs Achterstands Beleid","Gemeente Eindhoven Sector Mm","7870,00"
"2014","VIII","Onderwijs, Cultuur en Wetenschap","1","Primair Onderwijs","Bijdrage aan medeoverheden","Onderwijs Achterstands Beleid","Gemeente Elburg","54,00"
"2014","VIII","Onderwijs, Cultuur en Wetenschap","1","Primair Onderwijs","Bijdrage aan medeoverheden","Onderwijs Achterstands Beleid","Gemeente Emmen","2217,00"
"2014","VIII","Onderwijs, Cultuur en Wetenschap","1","Primair Onderwijs","Bijdrage aan medeoverheden","Onderwijs Achterstands Beleid","Gemeente Enkhuizen","181,00"
"2014","VIII","Onderwijs, Cultuur en Wetenschap","1","Primair Onderwijs","Bijdrage aan medeoverheden","Onderwijs Achterstands Beleid","Gemeente Enschede","6066,00"
"2014","VIII","Onderwijs, Cultuur en Wetenschap","1","Primair Onderwijs","Bijdrage aan medeoverheden","Onderwijs Achterstands Beleid","Gemeente Epe","322,00"
"2014","VIII","Onderwijs, Cultuur en Wetenschap","1","Primair Onderwijs","Bijdrage aan medeoverheden","Onderwijs Achterstands Beleid","Gemeente Ermelo","57,00"
"2014","VIII","Onderwijs, Cultuur en Wetenschap","1","Primair Onderwijs","Bijdrage aan medeoverheden","Onderwijs Achterstands Beleid","Gemeente Etten-Leur","305,00"
"2014","VIII","Onderwijs, Cultuur en Wetenschap","1","Primair Onderwijs","Bijdrage aan medeoverheden","Onderwijs Achterstands Beleid","Gemeente Franekeradeel","38,00"
"2014","VIII","Onderwijs, Cultuur en Wetenschap","1","Primair Onderwijs","Bijdrage aan medeoverheden","Onderwijs Achterstands Beleid","Gemeente Geertruidenberg","54,00"
"2014","VIII","Onderwijs, Cultuur en Wetenschap","1","Primair Onderwijs","Bijdrage aan medeoverheden","Onderwijs Achterstands Beleid","Gemeente Geldermalsen","124,00"
"2014","VIII","Onderwijs, Cultuur en Wetenschap","1","Primair Onderwijs","Bijdrage aan medeoverheden","Onderwijs Achterstands Beleid","Gemeente Geldrop-Mierlo","354,00"
"2014","VIII","Onderwijs, Cultuur en Wetenschap","1","Primair Onderwijs","Bijdrage aan medeoverheden","Onderwijs Achterstands Beleid","Gemeente Gemert-Bakel","99,00"
"2014","VIII","Onderwijs, Cultuur en Wetenschap","1","Primair Onderwijs","Bijdrage aan medeoverheden","Onderwijs Achterstands Beleid","Gemeente Gennep","70,00"
"2014","VIII","Onderwijs, Cultuur en Wetenschap","1","Primair Onderwijs","Bijdrage aan medeoverheden","Onderwijs Achterstands Beleid","Gemeente Giessenlanden","19,00"
"2014","VIII","Onderwijs, Cultuur en Wetenschap","1","Primair Onderwijs","Bijdrage aan medeoverheden","Onderwijs Achterstands Beleid","Gemeente Gilze En Rijen","350,00"
"2014","VIII","Onderwijs, Cultuur en Wetenschap","1","Primair Onderwijs","Bijdrage aan medeoverheden","Onderwijs Achterstands Beleid","Gemeente Goeree-Overflakkee","130,00"
"2014","VIII","Onderwijs, Cultuur en Wetenschap","1","Primair Onderwijs","Bijdrage aan medeoverheden","Onderwijs Achterstands Beleid","Gemeente Goes","291,00"
"2014","VIII","Onderwijs, Cultuur en Wetenschap","1","Primair Onderwijs","Bijdrage aan medeoverheden","Onderwijs Achterstands Beleid","Gemeente Goirle","38,00"
"2014","VIII","Onderwijs, Cultuur en Wetenschap","1","Primair Onderwijs","Bijdrage aan medeoverheden","Onderwijs Achterstands Beleid","Gemeente Gorinchem","1182,00"
"2014","VIII","Onderwijs, Cultuur en Wetenschap","1","Primair Onderwijs","Bijdrage aan medeoverheden","Onderwijs Achterstands Beleid","Gemeente Gouda","2450,00"
"2014","VIII","Onderwijs, Cultuur en Wetenschap","1","Primair Onderwijs","Bijdrage aan medeoverheden","Onderwijs Achterstands Beleid","Gemeente Grave","156,00"
"2014","VIII","Onderwijs, Cultuur en Wetenschap","1","Primair Onderwijs","Bijdrage aan medeoverheden","Onderwijs Achterstands Beleid","Gemeente Groesbeek","73,00"
"2014","VIII","Onderwijs, Cultuur en Wetenschap","1","Primair Onderwijs","Bijdrage aan medeoverheden","Onderwijs Achterstands Beleid","Gemeente Groningen","2584,00"
"2014","VIII","Onderwijs, Cultuur en Wetenschap","1","Primair Onderwijs","Bijdrage aan medeoverheden","Onderwijs Achterstands Beleid","Gemeente Grootegast","10,00"
"2014","VIII","Onderwijs, Cultuur en Wetenschap","1","Primair Onderwijs","Bijdrage aan medeoverheden","Onderwijs Achterstands Beleid","Gemeente Haaksbergen","6,00"
"2014","VIII","Onderwijs, Cultuur en Wetenschap","1","Primair Onderwijs","Bijdrage aan medeoverheden","Onderwijs Achterstands Beleid","Gemeente Haarlem","4967,00"
"2014","VIII","Onderwijs, Cultuur en Wetenschap","1","Primair Onderwijs","Bijdrage aan medeoverheden","Onderwijs Achterstands Beleid","Gemeente Haarlemmerliede","35,00"
"2014","VIII","Onderwijs, Cultuur en Wetenschap","1","Primair Onderwijs","Bijdrage aan medeoverheden","Onderwijs Achterstands Beleid","Gemeente Haarlemmermeer","699,00"
"2014","VIII","Onderwijs, Cultuur en Wetenschap","1","Primair Onderwijs","Bijdrage aan medeoverheden","Onderwijs Achterstands Beleid","Gemeente Halderberge","412,00"
"2014","VIII","Onderwijs, Cultuur en Wetenschap","1","Primair Onderwijs","Bijdrage aan medeoverheden","Onderwijs Achterstands Beleid","Gemeente Hardenberg","76,00"
"2014","VIII","Onderwijs, Cultuur en Wetenschap","1","Primair Onderwijs","Bijdrage aan medeoverheden","Onderwijs Achterstands Beleid","Gemeente Harderwijk","1067,00"
"2014","VIII","Onderwijs, Cultuur en Wetenschap","1","Primair Onderwijs","Bijdrage aan medeoverheden","Onderwijs Achterstands Beleid","Gemeente Hardinxveld-Giessendam","102,00"
"2014","VIII","Onderwijs, Cultuur en Wetenschap","1","Primair Onderwijs","Bijdrage aan medeoverheden","Onderwijs Achterstands Beleid","Gemeente Harlingen","54,00"
"2014","VIII","Onderwijs, Cultuur en Wetenschap","1","Primair Onderwijs","Bijdrage aan medeoverheden","Onderwijs Achterstands Beleid","Gemeente Hattem","6,00"
"2014","VIII","Onderwijs, Cultuur en Wetenschap","1","Primair Onderwijs","Bijdrage aan medeoverheden","Onderwijs Achterstands Beleid","Gemeente Heemskerk","620,00"
"2014","VIII","Onderwijs, Cultuur en Wetenschap","1","Primair Onderwijs","Bijdrage aan medeoverheden","Onderwijs Achterstands Beleid","Gemeente Heerde","102,00"
"2014","VIII","Onderwijs, Cultuur en Wetenschap","1","Primair Onderwijs","Bijdrage aan medeoverheden","Onderwijs Achterstands Beleid","Gemeente Heerenveen","169,00"
"2014","VIII","Onderwijs, Cultuur en Wetenschap","1","Primair Onderwijs","Bijdrage aan medeoverheden","Onderwijs Achterstands Beleid","Gemeente Heerhugowaard","76,00"
"2014","VIII","Onderwijs, Cultuur en Wetenschap","1","Primair Onderwijs","Bijdrage aan medeoverheden","Onderwijs Achterstands Beleid","Gemeente Heerlen","2260,00"
"2014","VIII","Onderwijs, Cultuur en Wetenschap","1","Primair Onderwijs","Bijdrage aan medeoverheden","Onderwijs Achterstands Beleid","Gemeente Heeze-Leende","19,00"
"2014","VIII","Onderwijs, Cultuur en Wetenschap","1","Primair Onderwijs","Bijdrage aan medeoverheden","Onderwijs Achterstands Beleid","Gemeente Hellendoorn","89,00"
"2014","VIII","Onderwijs, Cultuur en Wetenschap","1","Primair Onderwijs","Bijdrage aan medeoverheden","Onderwijs Achterstands Beleid","Gemeente Hellevoetsluis","454,00"
"2014","VIII","Onderwijs, Cultuur en Wetenschap","1","Primair Onderwijs","Bijdrage aan medeoverheden","Onderwijs Achterstands Beleid","Gemeente Helmond","4097,00"
"2014","VIII","Onderwijs, Cultuur en Wetenschap","1","Primair Onderwijs","Bijdrage aan medeoverheden","Onderwijs Achterstands Beleid","Gemeente Hendrik-Ido-Ambacht","19,00"
"2014","VIII","Onderwijs, Cultuur en Wetenschap","1","Primair Onderwijs","Bijdrage aan medeoverheden","Onderwijs Achterstands Beleid","Gemeente Hengelo (Ov)","1071,00"
"2014","VIII","Onderwijs, Cultuur en Wetenschap","1","Primair Onderwijs","Bijdrage aan medeoverheden","Onderwijs Achterstands Beleid","Gemeente Het Bildt","108,00"
"2014","VIII","Onderwijs, Cultuur en Wetenschap","1","Primair Onderwijs","Bijdrage aan medeoverheden","Onderwijs Achterstands Beleid","Gemeente Heumen","25,00"
"2014","VIII","Onderwijs, Cultuur en Wetenschap","1","Primair Onderwijs","Bijdrage aan medeoverheden","Onderwijs Achterstands Beleid","Gemeente Heusden","430,00"
"2014","VIII","Onderwijs, Cultuur en Wetenschap","1","Primair Onderwijs","Bijdrage aan medeoverheden","Onderwijs Achterstands Beleid","Gemeente Hillegom","45,00"
"2014","VIII","Onderwijs, Cultuur en Wetenschap","1","Primair Onderwijs","Bijdrage aan medeoverheden","Onderwijs Achterstands Beleid","Gemeente Hilversum","1435,00"
