"Jaar","Begrotingshoofdstuk","Naam Begroting","Begrotings artikel nr","Naam artikel","Kostensoort","Realisatie (*Eu 1000)"
2014,"III","Ministerie van Algemene Zaken",1,"Eenheid van het algemeen regeringsbeleid","Aanleg, Beheer en Onderhoud infrastructuur","178,00"
2014,"III","Ministerie van Algemene Zaken",1,"Eenheid van het algemeen regeringsbeleid","Aanschaf Hardware","1004,00"
2014,"III","Ministerie van Algemene Zaken",1,"Eenheid van het algemeen regeringsbeleid","Aanschaf programmatuur & software","55,00"
2014,"III","Ministerie van Algemene Zaken",1,"Eenheid van het algemeen regeringsbeleid","Arbeidsomstandigheden en personele zorg (incl. BHV middelen)","30,00"
2014,"III","Ministerie van Algemene Zaken",1,"Eenheid van het algemeen regeringsbeleid","Bankdiensten","2,00"
2014,"III","Ministerie van Algemene Zaken",1,"Eenheid van het algemeen regeringsbeleid","Beheer & Onderhoud hardware ","325,00"
2014,"III","Ministerie van Algemene Zaken",1,"Eenheid van het algemeen regeringsbeleid","Beheer, Onderhoud programmatuur & Software","610,00"
2014,"III","Ministerie van Algemene Zaken",1,"Eenheid van het algemeen regeringsbeleid","Benodigdheden en hulpmiddelen","108,00"
2014,"III","Ministerie van Algemene Zaken",1,"Eenheid van het algemeen regeringsbeleid","Bijdrage SSO","6227,00"
2014,"III","Ministerie van Algemene Zaken",1,"Eenheid van het algemeen regeringsbeleid","Bijdragen aan (inter)nationale organisaties","529,00"
2014,"III","Ministerie van Algemene Zaken",1,"Eenheid van het algemeen regeringsbeleid","Bovenwettelijke uitkering, wachtgelden","542,00"
2014,"III","Ministerie van Algemene Zaken",1,"Eenheid van het algemeen regeringsbeleid","Consumptieve diensten","170,00"
2014,"III","Ministerie van Algemene Zaken",1,"Eenheid van het algemeen regeringsbeleid","Diversen communicatie","128,00"
2014,"III","Ministerie van Algemene Zaken",1,"Eenheid van het algemeen regeringsbeleid","Documentmanagement Documentontwikkeling en -verwerking","286,00"
2014,"III","Ministerie van Algemene Zaken",1,"Eenheid van het algemeen regeringsbeleid","Eindheffing loonbelasting","3,00"
2014,"III","Ministerie van Algemene Zaken",1,"Eenheid van het algemeen regeringsbeleid","Gebruik en onderhoud gebouw en terreinen","303,00"
2014,"III","Ministerie van Algemene Zaken",1,"Eenheid van het algemeen regeringsbeleid","Gratificaties","111,00"
2014,"III","Ministerie van Algemene Zaken",1,"Eenheid van het algemeen regeringsbeleid","Inrichting van Gebouwen","165,00"
2014,"III","Ministerie van Algemene Zaken",1,"Eenheid van het algemeen regeringsbeleid","Instroom, doorstroom en uitstroom van personeel","35,00"
2014,"III","Ministerie van Algemene Zaken",1,"Eenheid van het algemeen regeringsbeleid","Noodzakelijke contributies van personeel (bijv. contributies NIVRA, vakverenigingen, nieuwspoort)","1,00"
2014,"III","Ministerie van Algemene Zaken",1,"Eenheid van het algemeen regeringsbeleid","Onkostenvergoedingen waaronder Woon-werkverkeer (ook collectieve inkoop OV kaarten)","260,00"
2014,"III","Ministerie van Algemene Zaken",1,"Eenheid van het algemeen regeringsbeleid","Pensioenpremies","1766,00"
2014,"III","Ministerie van Algemene Zaken",1,"Eenheid van het algemeen regeringsbeleid","Personeelsevenementen, - bijeenkomsten en recepties","49,00"
2014,"III","Ministerie van Algemene Zaken",1,"Eenheid van het algemeen regeringsbeleid","Post-, Koeriers- en transportdiensten","20,00"
2014,"III","Ministerie van Algemene Zaken",1,"Eenheid van het algemeen regeringsbeleid","Reis- en Verblijfkosten","369,00"
2014,"III","Ministerie van Algemene Zaken",1,"Eenheid van het algemeen regeringsbeleid","Relatiegeschenken (niet voor eigen personeel)","259,00"
2014,"III","Ministerie van Algemene Zaken",1,"Eenheid van het algemeen regeringsbeleid","Representatie voor eigen personeel","88,00"
2014,"III","Ministerie van Algemene Zaken",1,"Eenheid van het algemeen regeringsbeleid","Risicobeheersen","106,00"
2014,"III","Ministerie van Algemene Zaken",1,"Eenheid van het algemeen regeringsbeleid","Salaris, vakantie- en eindejaarsuitkering","11132,00"
2014,"III","Ministerie van Algemene Zaken",1,"Eenheid van het algemeen regeringsbeleid","Schoonmaken","100,00"
2014,"III","Ministerie van Algemene Zaken",1,"Eenheid van het algemeen regeringsbeleid","Sociale lasten en bijdrage zorgverzekeringswet","1239,00"
2014,"III","Ministerie van Algemene Zaken",1,"Eenheid van het algemeen regeringsbeleid","Spraak en Data Verbindingen","498,00"
2014,"III","Ministerie van Algemene Zaken",1,"Eenheid van het algemeen regeringsbeleid","Studie en opleiding","359,00"
2014,"III","Ministerie van Algemene Zaken",1,"Eenheid van het algemeen regeringsbeleid","Toelagen, toeslagen en vergoedingen","446,00"
2014,"III","Ministerie van Algemene Zaken",1,"Eenheid van het algemeen regeringsbeleid","Uitbesteden juridisch adviesopdrachten","67,00"
2014,"III","Ministerie van Algemene Zaken",1,"Eenheid van het algemeen regeringsbeleid","Uitbesteden organisatie- en formatieadviesopdrachten","618,00"
2014,"III","Ministerie van Algemene Zaken",1,"Eenheid van het algemeen regeringsbeleid","Uitgaven sociaal flankerend beleid","25,00"
2014,"III","Ministerie van Algemene Zaken",1,"Eenheid van het algemeen regeringsbeleid","Uitzendkrachten","340,00"
2014,"III","Ministerie van Algemene Zaken",1,"Eenheid van het algemeen regeringsbeleid","Vakliteratuur, abonnementen en overige informatie","2,00"
2014,"III","Ministerie van Algemene Zaken",1,"Eenheid van het algemeen regeringsbeleid","Verblijf extern ","156,00"
2014,"III","Ministerie van Algemene Zaken",1,"Eenheid van het algemeen regeringsbeleid","Verbruik van energie en water","472,00"
2014,"III","Ministerie van Algemene Zaken",1,"Eenheid van het algemeen regeringsbeleid","Vergoedingen voor inbesteding personeel","1721,00"
2014,"III","Ministerie van Algemene Zaken",1,"Eenheid van het algemeen regeringsbeleid","Verhuizen","60,00"
2014,"III","Ministerie van Algemene Zaken",1,"Eenheid van het algemeen regeringsbeleid","Verwerven en afstoten","3,00"
2014,"III","Ministerie van Algemene Zaken",1,"Eenheid van het algemeen regeringsbeleid","Wagenpark","117,00"
2014,"IV","Koninkrijksrelaties",2,"Bevord. autonomie Kon.partners","Aanschaf Hardware","49,00"
2014,"IV","Koninkrijksrelaties",2,"Bevord. autonomie Kon.partners","Aanschaf programmatuur & software","43,00"
2014,"IV","Koninkrijksrelaties",2,"Bevord. autonomie Kon.partners","Accountancy, financiën en administratieve organisatie","15,00"
2014,"IV","Koninkrijksrelaties",2,"Bevord. autonomie Kon.partners","Accountancy, financiën en administratieve organisatie","1,00"
2014,"IV","Koninkrijksrelaties",2,"Bevord. autonomie Kon.partners","Afvalzorgmanagement","0,00"
2014,"IV","Koninkrijksrelaties",2,"Bevord. autonomie Kon.partners","Bankdiensten","0,00"
2014,"IV","Koninkrijksrelaties",2,"Bevord. autonomie Kon.partners","Bankdiensten","153,00"
2014,"IV","Koninkrijksrelaties",2,"Bevord. autonomie Kon.partners","Benodigdheden en hulpmiddelen","1,00"
2014,"IV","Koninkrijksrelaties",2,"Bevord. autonomie Kon.partners","Bijdrage SSO","118,00"
2014,"IV","Koninkrijksrelaties",2,"Bevord. autonomie Kon.partners","Bovenwettelijke uitkering, wachtgelden","299,00"
