"Jaar","Begrotingshoofdstuk","Naam Begroting","Begrotings artikel nr","Naam artikel","Kostensoort","Realisatie (*Eu 1000)"
2014,"IV","Koninkrijksrelaties",2,"Bevord. autonomie Kon.partners","Consumptieve diensten","8,00"
2014,"IV","Koninkrijksrelaties",2,"Bevord. autonomie Kon.partners","Consumptieve diensten","1,00"
2014,"IV","Koninkrijksrelaties",2,"Bevord. autonomie Kon.partners","Departement_Specifiek_Materieel","1578,00"
2014,"IV","Koninkrijksrelaties",2,"Bevord. autonomie Kon.partners","Evenementen en congresorganisatie","1,00"
2014,"IV","Koninkrijksrelaties",2,"Bevord. autonomie Kon.partners","Inrichting van Gebouwen","0,00"
2014,"IV","Koninkrijksrelaties",2,"Bevord. autonomie Kon.partners","Instroom, doorstroom en uitstroom van personeel","0,00"
2014,"IV","Koninkrijksrelaties",2,"Bevord. autonomie Kon.partners","Post-, Koeriers- en transportdiensten","1,00"
2014,"IV","Koninkrijksrelaties",2,"Bevord. autonomie Kon.partners","Reis- en Verblijfkosten","535,00"
2014,"IV","Koninkrijksrelaties",2,"Bevord. autonomie Kon.partners","Relatiegeschenken (niet voor eigen personeel)","0,00"
2014,"IV","Koninkrijksrelaties",2,"Bevord. autonomie Kon.partners","Representatie voor eigen personeel","12,00"
2014,"IV","Koninkrijksrelaties",2,"Bevord. autonomie Kon.partners","Salaris, vakantie- en eindejaarsuitkering","6342,00"
2014,"IV","Koninkrijksrelaties",2,"Bevord. autonomie Kon.partners","Schoonmaken","0,00"
2014,"IV","Koninkrijksrelaties",2,"Bevord. autonomie Kon.partners","Sociale lasten en bijdrage zorgverzekeringswet","4,00"
2014,"IV","Koninkrijksrelaties",2,"Bevord. autonomie Kon.partners","Spraak en Data Verbindingen","6,00"
2014,"IV","Koninkrijksrelaties",2,"Bevord. autonomie Kon.partners","Studie en opleiding","29,00"
2014,"IV","Koninkrijksrelaties",2,"Bevord. autonomie Kon.partners","Toelagen, toeslagen en vergoedingen","367,00"
2014,"IV","Koninkrijksrelaties",2,"Bevord. autonomie Kon.partners","Uitbesteden juridisch adviesopdrachten","6,00"
2014,"IV","Koninkrijksrelaties",2,"Bevord. autonomie Kon.partners","Vakliteratuur, abonnementen en overige informatie","10,00"
2014,"IV","Koninkrijksrelaties",2,"Bevord. autonomie Kon.partners","Verbruik van energie en water","0,00"
2014,"IV","Koninkrijksrelaties",2,"Bevord. autonomie Kon.partners","Verhuiskosten (binnen- en buitenland)","44,00"
2014,"IXB","Financiën en Nationale Schuld",1,"Belastingen","Aan externe partij uitbestede ICT-dienstverlening.","45290,41"
2014,"IXB","Financiën en Nationale Schuld",1,"Belastingen","Aan materieel gerelateerde uitbesteding","34580,29"
2014,"IXB","Financiën en Nationale Schuld",1,"Belastingen","Aanleg, Beheer en Onderhoud infrastructuur","0,00"
2014,"IXB","Financiën en Nationale Schuld",1,"Belastingen","Aanschaf Hardware","45888,42"
2014,"IXB","Financiën en Nationale Schuld",1,"Belastingen","Aanschaf programmatuur & software","24623,39"
2014,"IXB","Financiën en Nationale Schuld",1,"Belastingen","Accountancy, financiën en administratieve organisatie","7734,22"
2014,"IXB","Financiën en Nationale Schuld",1,"Belastingen","Advisering en eventueel explorerend onderzoek","12,85"
2014,"IXB","Financiën en Nationale Schuld",1,"Belastingen","Advisering opdrachtgevers over automatiseringsvraagstukken","96142,37"
2014,"IXB","Financiën en Nationale Schuld",1,"Belastingen","Afvalzorgmanagement","731,20"
2014,"IXB","Financiën en Nationale Schuld",1,"Belastingen","Arbeidsomstandigheden en personele zorg (incl. BHV middelen)","5506,08"
2014,"IXB","Financiën en Nationale Schuld",1,"Belastingen","Bankdiensten","4296,50"
2014,"IXB","Financiën en Nationale Schuld",1,"Belastingen","Beheer & Onderhoud hardware ","19413,35"
2014,"IXB","Financiën en Nationale Schuld",1,"Belastingen","Beheer, Onderhoud programmatuur & Software","53054,67"
2014,"IXB","Financiën en Nationale Schuld",1,"Belastingen","Benodigdheden en hulpmiddelen","10075,01"
2014,"IXB","Financiën en Nationale Schuld",1,"Belastingen","Bijdrage SSO","211555,00"
2014,"IXB","Financiën en Nationale Schuld",1,"Belastingen","Bovenwettelijke uitkering, wachtgelden","2864,36"
2014,"IXB","Financiën en Nationale Schuld",1,"Belastingen","Communicatieadvisering","675,31"
2014,"IXB","Financiën en Nationale Schuld",1,"Belastingen","Consumptieve diensten","11598,51"
2014,"IXB","Financiën en Nationale Schuld",1,"Belastingen","Departement_Specifiek_Materieel","15595,26"
2014,"IXB","Financiën en Nationale Schuld",1,"Belastingen","Departement_Specifiek_Materieel","16646,31"
2014,"IXB","Financiën en Nationale Schuld",1,"Belastingen","Departement_Specifiek_Personeel","4411,00"
2014,"IXB","Financiën en Nationale Schuld",1,"Belastingen","Departement_Specifiek_Personeel","472,78"
2014,"IXB","Financiën en Nationale Schuld",1,"Belastingen","Diversen communicatie","11146,26"
2014,"IXB","Financiën en Nationale Schuld",1,"Belastingen","Documentmanagement Documentontwikkeling en -verwerking","5926,81"
2014,"IXB","Financiën en Nationale Schuld",1,"Belastingen","Evenementen en congresorganisatie","0,00"
2014,"IXB","Financiën en Nationale Schuld",1,"Belastingen","Functioneel leeftijdsontslag","346,42"
2014,"IXB","Financiën en Nationale Schuld",1,"Belastingen","Gebruik en onderhoud gebouw en terreinen","24736,71"
2014,"IXB","Financiën en Nationale Schuld",1,"Belastingen","Gratificaties","11313,27"
2014,"IXB","Financiën en Nationale Schuld",1,"Belastingen","Inbesteding","0,00"
2014,"IXB","Financiën en Nationale Schuld",1,"Belastingen","Inrichting van Gebouwen","37042,78"
2014,"IXB","Financiën en Nationale Schuld",1,"Belastingen","Instroom, doorstroom en uitstroom van personeel","1714,59"
2014,"IXB","Financiën en Nationale Schuld",1,"Belastingen","Interim–management","0,00"
2014,"IXB","Financiën en Nationale Schuld",1,"Belastingen","Juridisch advies","35,61"
2014,"IXB","Financiën en Nationale Schuld",1,"Belastingen","Noodzakelijke contributies van personeel (bijv. contributies NIVRA, vakverenigingen, nieuwspoort)","1008,33"
2014,"IXB","Financiën en Nationale Schuld",1,"Belastingen","Onkostenvergoedingen waaronder Woon-werkverkeer (ook collectieve inkoop OV kaarten)","30358,53"
2014,"IXB","Financiën en Nationale Schuld",1,"Belastingen","Organisatie- en formatieadvies","2270,16"
2014,"IXB","Financiën en Nationale Schuld",1,"Belastingen","Post-, Koeriers- en transportdiensten","49633,20"
2014,"IXB","Financiën en Nationale Schuld",1,"Belastingen","Reis- en Verblijfkosten","36168,33"
2014,"IXB","Financiën en Nationale Schuld",1,"Belastingen","Relatiegeschenken (niet voor eigen personeel)","539,77"
2014,"IXB","Financiën en Nationale Schuld",1,"Belastingen","Representatie voor eigen personeel","3091,20"
2014,"IXB","Financiën en Nationale Schuld",1,"Belastingen","Risicobeheersen","13906,69"
2014,"IXB","Financiën en Nationale Schuld",1,"Belastingen","Salaris, vakantie- en eindejaarsuitkering","1440040,18"
2014,"IXB","Financiën en Nationale Schuld",1,"Belastingen","Schoonmaken","13123,17"
2014,"IXB","Financiën en Nationale Schuld",1,"Belastingen","Sociale lasten en bijdrage zorgverzekeringswet","391501,85"
2014,"IXB","Financiën en Nationale Schuld",1,"Belastingen","Spraak en Data Verbindingen","33720,67"
2014,"IXB","Financiën en Nationale Schuld",1,"Belastingen","Studie en opleiding","26741,43"
2014,"IXB","Financiën en Nationale Schuld",1,"Belastingen","Toelagen, toeslagen en vergoedingen","39415,19"
2014,"IXB","Financiën en Nationale Schuld",1,"Belastingen","Tolken en vertalers op grond van wettelijke taken","0,00"
2014,"IXB","Financiën en Nationale Schuld",1,"Belastingen","Uitgaven sociaal flankerend beleid","55,24"
2014,"IXB","Financiën en Nationale Schuld",1,"Belastingen","Uitzendkrachten","133989,38"
2014,"IXB","Financiën en Nationale Schuld",1,"Belastingen","Vakliteratuur, abonnementen en overige informatie","23622,68"
2014,"IXB","Financiën en Nationale Schuld",1,"Belastingen","Verblijf extern ","0,00"
2014,"IXB","Financiën en Nationale Schuld",1,"Belastingen","Verbruik van energie en water","12755,27"
2014,"IXB","Financiën en Nationale Schuld",1,"Belastingen","Verhuiskosten (binnen- en buitenland)","62,33"
2014,"IXB","Financiën en Nationale Schuld",1,"Belastingen","Verhuizen","99,46"
2014,"IXB","Financiën en Nationale Schuld",1,"Belastingen","Vertaaldiensten","0,00"
2014,"IXB","Financiën en Nationale Schuld",1,"Belastingen","Verwerven en afstoten","5565,30"
2014,"IXB","Financiën en Nationale Schuld",1,"Belastingen","Wagenpark","19617,62"
2014,"IXB","Financiën en Nationale Schuld",8,"Apparaat","Aan externe partij uitbestede ICT-dienstverlening.","4083,00"
2014,"IXB","Financiën en Nationale Schuld",8,"Apparaat","Aanleg, Beheer en Onderhoud infrastructuur","107,05"
2014,"IXB","Financiën en Nationale Schuld",8,"Apparaat","Aanschaf Hardware","1036,81"
2014,"IXB","Financiën en Nationale Schuld",8,"Apparaat","Aanschaf programmatuur & software","2152,00"
2014,"IXB","Financiën en Nationale Schuld",8,"Apparaat","Accountancy, financiën en administratieve organisatie","5314,97"
2014,"IXB","Financiën en Nationale Schuld",8,"Apparaat","Advisering en eventueel explorerend onderzoek","42,62"
2014,"IXB","Financiën en Nationale Schuld",8,"Apparaat","Advisering opdrachtgevers over automatiseringsvraagstukken","413,06"
2014,"IXB","Financiën en Nationale Schuld",8,"Apparaat","Afvalzorgmanagement",
2014,"IXB","Financiën en Nationale Schuld",8,"Apparaat","Arbeidsomstandigheden en personele zorg (incl. BHV middelen)",
2014,"IXB","Financiën en Nationale Schuld",8,"Apparaat","Bankdiensten","21,73"
2014,"IXB","Financiën en Nationale Schuld",8,"Apparaat","Beheer & Onderhoud hardware ",
2014,"IXB","Financiën en Nationale Schuld",8,"Apparaat","Beheer, Onderhoud programmatuur & Software",
2014,"IXB","Financiën en Nationale Schuld",8,"Apparaat","Benodigdheden en hulpmiddelen","109,19"
2014,"IXB","Financiën en Nationale Schuld",8,"Apparaat","Bijdrage SSO","38760,00"
2014,"IXB","Financiën en Nationale Schuld",8,"Apparaat","Bovenwettelijke uitkering, wachtgelden","301,00"
2014,"IXB","Financiën en Nationale Schuld",8,"Apparaat","Communicatieadvisering","1266,44"
2014,"IXB","Financiën en Nationale Schuld",8,"Apparaat","Consumptieve diensten","764,04"
2014,"IXB","Financiën en Nationale Schuld",8,"Apparaat","Departement_Specifiek_Materieel","5930,00"
2014,"IXB","Financiën en Nationale Schuld",8,"Apparaat","Departement_Specifiek_Materieel","2906,00"
2014,"IXB","Financiën en Nationale Schuld",8,"Apparaat","Diversen communicatie",
2014,"IXB","Financiën en Nationale Schuld",8,"Apparaat","Documentmanagement Documentontwikkeling en -verwerking",
2014,"IXB","Financiën en Nationale Schuld",8,"Apparaat","Eindheffing loonbelasting",
2014,"IXB","Financiën en Nationale Schuld",8,"Apparaat","Evenementen en congresorganisatie","788,07"
2014,"IXB","Financiën en Nationale Schuld",8,"Apparaat","Functioneel leeftijdsontslag",
2014,"IXB","Financiën en Nationale Schuld",8,"Apparaat","Gebruik en onderhoud gebouw en terreinen","811,27"
2014,"IXB","Financiën en Nationale Schuld",8,"Apparaat","Gratificaties","1405,09"
2014,"IXB","Financiën en Nationale Schuld",8,"Apparaat","Inbesteding","2346,00"
2014,"IXB","Financiën en Nationale Schuld",8,"Apparaat","Inrichting van Gebouwen","45,68"
2014,"IXB","Financiën en Nationale Schuld",8,"Apparaat","Instroom, doorstroom en uitstroom van personeel","280,43"
2014,"IXB","Financiën en Nationale Schuld",8,"Apparaat","Interim–management","62,74"
2014,"IXB","Financiën en Nationale Schuld",8,"Apparaat","Juridisch advies","116,71"
2014,"IXB","Financiën en Nationale Schuld",8,"Apparaat","Landsadvocaat",
2014,"IXB","Financiën en Nationale Schuld",8,"Apparaat","Noodzakelijke contributies van personeel (bijv. contributies NIVRA, vakverenigingen, nieuwspoort)","398,97"
2014,"IXB","Financiën en Nationale Schuld",8,"Apparaat","Organisatie- en formatieadvies","189,40"
2014,"IXB","Financiën en Nationale Schuld",8,"Apparaat","Pensioenpremies",
2014,"IXB","Financiën en Nationale Schuld",8,"Apparaat","Personeelsevenementen, - bijeenkomsten en recepties","417,66"
2014,"IXB","Financiën en Nationale Schuld",8,"Apparaat","Post-, Koeriers- en transportdiensten","90,80"
2014,"IXB","Financiën en Nationale Schuld",8,"Apparaat","Reis- en Verblijfkosten","4971,12"
2014,"IXB","Financiën en Nationale Schuld",8,"Apparaat","Relatiegeschenken (niet voor eigen personeel)","57,10"
2014,"IXB","Financiën en Nationale Schuld",8,"Apparaat","Representatie voor eigen personeel","14,40"
2014,"IXB","Financiën en Nationale Schuld",8,"Apparaat","Risicobeheersen","100,29"
2014,"IXB","Financiën en Nationale Schuld",8,"Apparaat","Salaris, vakantie- en eindejaarsuitkering","90129,17"
2014,"IXB","Financiën en Nationale Schuld",8,"Apparaat","Schoonmaken","125,83"
2014,"IXB","Financiën en Nationale Schuld",8,"Apparaat","Sociale lasten en bijdrage zorgverzekeringswet","24265,30"
2014,"IXB","Financiën en Nationale Schuld",8,"Apparaat","Spraak en Data Verbindingen","358,99"
2014,"IXB","Financiën en Nationale Schuld",8,"Apparaat","Studie en opleiding","3205,35"
2014,"IXB","Financiën en Nationale Schuld",8,"Apparaat","Toelagen, toeslagen en vergoedingen","1893,49"
2014,"IXB","Financiën en Nationale Schuld",8,"Apparaat","Tolken en vertalers op grond van wettelijke taken",
2014,"IXB","Financiën en Nationale Schuld",8,"Apparaat","Uitbesteden accountancy en financiën",
2014,"IXB","Financiën en Nationale Schuld",8,"Apparaat","Uitbesteden beleidsadvies- en onderzoeksopdrachten",
2014,"IXB","Financiën en Nationale Schuld",8,"Apparaat","Uitbesteden juridisch adviesopdrachten",
2014,"IXB","Financiën en Nationale Schuld",8,"Apparaat","Uitbesteden organisatie- en formatieadviesopdrachten",
2014,"IXB","Financiën en Nationale Schuld",8,"Apparaat","Uitgaven sociaal flankerend beleid","5,47"
2014,"IXB","Financiën en Nationale Schuld",8,"Apparaat","Uitzendkrachten","1438,00"
2014,"IXB","Financiën en Nationale Schuld",8,"Apparaat","Vakliteratuur, abonnementen en overige informatie","347,87"
2014,"IXB","Financiën en Nationale Schuld",8,"Apparaat","Verblijf extern ","295,50"
2014,"IXB","Financiën en Nationale Schuld",8,"Apparaat","Verbruik van energie en water","62,72"
2014,"IXB","Financiën en Nationale Schuld",8,"Apparaat","Vergoedingen voor inbesteding personeel","3716,57"
2014,"IXB","Financiën en Nationale Schuld",8,"Apparaat","Verhuiskosten (binnen- en buitenland)","223,63"
2014,"IXB","Financiën en Nationale Schuld",8,"Apparaat","Verhuizen",
2014,"IXB","Financiën en Nationale Schuld",8,"Apparaat","Vertaaldiensten",
2014,"IXB","Financiën en Nationale Schuld",8,"Apparaat","Verwerven en afstoten","870,79"
2014,"IXB","Financiën en Nationale Schuld",8,"Apparaat","Wagenpark","-5,59"
2014,"VI","Ministerie van Veiligheid en Justitie",32,"Rechtspleging en rechtsbijstand","Aanleg, Beheer en Onderhoud infrastructuur","7,48"
2014,"VI","Ministerie van Veiligheid en Justitie",32,"Rechtspleging en rechtsbijstand","Aanschaf Hardware","31,45"
2014,"VI","Ministerie van Veiligheid en Justitie",32,"Rechtspleging en rechtsbijstand","Aanschaf programmatuur & software","118,81"
2014,"VI","Ministerie van Veiligheid en Justitie",32,"Rechtspleging en rechtsbijstand","Accountancy, financiën en administratieve organisatie","21,48"
2014,"VI","Ministerie van Veiligheid en Justitie",32,"Rechtspleging en rechtsbijstand","Advisering opdrachtgevers over automatiseringsvraagstukken","280,18"
2014,"VI","Ministerie van Veiligheid en Justitie",32,"Rechtspleging en rechtsbijstand","Afvalzorgmanagement","2,22"
2014,"VI","Ministerie van Veiligheid en Justitie",32,"Rechtspleging en rechtsbijstand","Arbeidsomstandigheden en personele zorg (incl. BHV middelen)","36,78"
2014,"VI","Ministerie van Veiligheid en Justitie",32,"Rechtspleging en rechtsbijstand","Beheer & Onderhoud hardware ","55,82"
2014,"VI","Ministerie van Veiligheid en Justitie",32,"Rechtspleging en rechtsbijstand","Beheer, Onderhoud programmatuur & Software","281,30"
2014,"VI","Ministerie van Veiligheid en Justitie",32,"Rechtspleging en rechtsbijstand","Benodigdheden en hulpmiddelen","175,51"
2014,"VI","Ministerie van Veiligheid en Justitie",32,"Rechtspleging en rechtsbijstand","Bijdrage SSO","158,93"
2014,"VI","Ministerie van Veiligheid en Justitie",32,"Rechtspleging en rechtsbijstand","Consumptieve diensten","239,68"
2014,"VI","Ministerie van Veiligheid en Justitie",32,"Rechtspleging en rechtsbijstand","Documentmanagement Documentontwikkeling en -verwerking","77,77"
2014,"VI","Ministerie van Veiligheid en Justitie",32,"Rechtspleging en rechtsbijstand","Gebruik en onderhoud gebouw en terreinen","82,60"
2014,"VI","Ministerie van Veiligheid en Justitie",32,"Rechtspleging en rechtsbijstand","Gratificaties","-51,16"
2014,"VI","Ministerie van Veiligheid en Justitie",32,"Rechtspleging en rechtsbijstand","Inrichting van Gebouwen","10,59"
2014,"VI","Ministerie van Veiligheid en Justitie",32,"Rechtspleging en rechtsbijstand","Instroom, doorstroom en uitstroom van personeel","16,51"
2014,"VI","Ministerie van Veiligheid en Justitie",32,"Rechtspleging en rechtsbijstand","Interim–management","88,94"
2014,"VI","Ministerie van Veiligheid en Justitie",32,"Rechtspleging en rechtsbijstand","Landsadvocaat","6,56"
2014,"VI","Ministerie van Veiligheid en Justitie",32,"Rechtspleging en rechtsbijstand","Onkostenvergoedingen waaronder Woon-werkverkeer (ook collectieve inkoop OV kaarten)","299,75"
2014,"VI","Ministerie van Veiligheid en Justitie",32,"Rechtspleging en rechtsbijstand","Organisatie- en formatieadvies","50,67"
2014,"VI","Ministerie van Veiligheid en Justitie",32,"Rechtspleging en rechtsbijstand","Pensioenpremies","2606,38"
2014,"VI","Ministerie van Veiligheid en Justitie",32,"Rechtspleging en rechtsbijstand","Personeelsevenementen, - bijeenkomsten en recepties","5,24"
2014,"VI","Ministerie van Veiligheid en Justitie",32,"Rechtspleging en rechtsbijstand","Post-, Koeriers- en transportdiensten","133,05"
2014,"VI","Ministerie van Veiligheid en Justitie",32,"Rechtspleging en rechtsbijstand","Reis- en Verblijfkosten","39,62"
2014,"VI","Ministerie van Veiligheid en Justitie",32,"Rechtspleging en rechtsbijstand","Relatiegeschenken (niet voor eigen personeel)","86,84"
2014,"VI","Ministerie van Veiligheid en Justitie",32,"Rechtspleging en rechtsbijstand","Representatie voor eigen personeel","14,73"
2014,"VI","Ministerie van Veiligheid en Justitie",32,"Rechtspleging en rechtsbijstand","Risicobeheersen","228,35"
2014,"VI","Ministerie van Veiligheid en Justitie",32,"Rechtspleging en rechtsbijstand","Salaris, vakantie- en eindejaarsuitkering","15923,15"
2014,"VI","Ministerie van Veiligheid en Justitie",32,"Rechtspleging en rechtsbijstand","Schoonmaken","296,22"
2014,"VI","Ministerie van Veiligheid en Justitie",32,"Rechtspleging en rechtsbijstand","Sociale lasten en bijdrage zorgverzekeringswet","1558,34"
2014,"VI","Ministerie van Veiligheid en Justitie",32,"Rechtspleging en rechtsbijstand","Spraak en Data Verbindingen","403,61"
2014,"VI","Ministerie van Veiligheid en Justitie",32,"Rechtspleging en rechtsbijstand","Studie en opleiding","239,73"
2014,"VI","Ministerie van Veiligheid en Justitie",32,"Rechtspleging en rechtsbijstand","Toelagen, toeslagen en vergoedingen","368,25"
2014,"VI","Ministerie van Veiligheid en Justitie",32,"Rechtspleging en rechtsbijstand","Tolken en vertalers op grond van wettelijke taken","5,56"
2014,"VI","Ministerie van Veiligheid en Justitie",32,"Rechtspleging en rechtsbijstand","Uitbesteden accountancy en financiën","9,68"
2014,"VI","Ministerie van Veiligheid en Justitie",32,"Rechtspleging en rechtsbijstand","Uitbesteden beleidsadvies- en onderzoeksopdrachten","12,25"
2014,"VI","Ministerie van Veiligheid en Justitie",32,"Rechtspleging en rechtsbijstand","Uitbesteden organisatie- en formatieadviesopdrachten","54,32"
2014,"VI","Ministerie van Veiligheid en Justitie",32,"Rechtspleging en rechtsbijstand","Uitzendkrachten","104,07"
2014,"VI","Ministerie van Veiligheid en Justitie",32,"Rechtspleging en rechtsbijstand","Vakliteratuur, abonnementen en overige informatie","438,92"
2014,"VI","Ministerie van Veiligheid en Justitie",32,"Rechtspleging en rechtsbijstand","Verblijf extern ","7,88"
2014,"VI","Ministerie van Veiligheid en Justitie",32,"Rechtspleging en rechtsbijstand","Verbruik van energie en water","235,10"
